P_net,T_in_ref_blk,p_high,PR,pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_Q
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1196.26,253,1.0077492823
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1196.26,267.03,1.0077492823
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1196.26,281.06,1.0077492823
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1196.26,295.09,1.0077492823
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1196.26,309.12,1.0077492823
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1196.26,323.15,1.0077492823
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1191.26,253,1.0078606299
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1191.26,267.03,1.0078606299
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1191.26,281.06,1.0078606299
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1191.26,295.09,1.0078606299
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1191.26,309.12,1.0078606299
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1191.26,323.15,1.0078606299
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1186.26,253,1.0033956963
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1186.26,267.03,1.0033956963
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1186.26,281.06,1.0033956963
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1186.26,295.09,1.0033956963
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1186.26,309.12,1.0033956963
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1186.26,323.15,1.0033956963
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1181.26,253,0.9989160608
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1181.26,267.03,0.9989160608
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1181.26,281.06,0.9989160608
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1181.26,295.09,0.9989160608
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1181.26,309.12,0.9989160608
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1181.26,323.15,0.9989160608
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1176.26,253,0.9947259712
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1176.26,267.03,0.9947259712
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1176.26,281.06,0.9947259712
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1176.26,295.09,0.9947259712
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1176.26,309.12,0.9947259712
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1176.26,323.15,0.9947259712
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1171.26,253,0.9904235198
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1171.26,267.03,0.9904235198
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1171.26,281.06,0.9904235198
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1171.26,295.09,0.9904235198
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1171.26,309.12,0.9904235198
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1171.26,323.15,0.9904235198
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1196.26,253,0.9848822469
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1196.26,267.03,0.9848822469
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1196.26,281.06,0.9848822469
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1196.26,295.09,0.9848822469
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1196.26,309.12,0.9848822469
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1196.26,323.15,0.9848822469
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1191.26,253,0.9842360201
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1191.26,267.03,0.9842360201
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1191.26,281.06,0.9842360201
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1191.26,295.09,0.9842360201
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1191.26,309.12,0.9842360201
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1191.26,323.15,0.9842360201
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1186.26,253,0.9860604746
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1186.26,267.03,0.9860604746
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1186.26,281.06,0.9860604746
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1186.26,295.09,0.9860604746
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1186.26,309.12,0.9860604746
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1186.26,323.15,0.9860604746
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1181.26,253,0.9884137565
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1181.26,267.03,0.9884137565
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1181.26,281.06,0.9884137565
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1181.26,295.09,0.9884137565
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1181.26,309.12,0.9884137565
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1181.26,323.15,0.9884137565
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1176.26,253,0.9907473217
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1176.26,267.03,0.9907473217
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1176.26,281.06,0.9907473217
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1176.26,295.09,0.9907473217
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1176.26,309.12,0.9907473217
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1176.26,323.15,0.9907473217
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1171.26,253,0.9930559928
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1171.26,267.03,0.9930559928
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1171.26,281.06,0.9930559928
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1171.26,295.09,0.9930559928
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1171.26,309.12,0.9930559928
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.61,1171.26,323.15,0.9930559928
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1196.26,253,0.9882424056
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1196.26,267.03,0.9882424056
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1196.26,281.06,0.9882424056
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1196.26,295.09,0.9882424056
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1196.26,309.12,0.9882424056
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1196.26,323.15,0.9882424056
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1191.26,253,0.9878196937
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1191.26,267.03,0.9878196937
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.72,1191.26,281.06,0.9878196937
