P_net,T_in_ref_blk,p_high,PR,pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_gross
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1196.26,253,0.415956246
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1196.26,267.03,0.4159553662
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1196.26,281.06,0.4158296174
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1196.26,295.09,0.4082383707
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1196.26,309.12,0.4082383707
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1196.26,323.15,0.4082383707
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1191.26,253,0.4134392797
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1191.26,267.03,0.4134384001
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1191.26,281.06,0.4133126652
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1191.26,295.09,0.4057222571
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1191.26,309.12,0.4057222571
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1191.26,323.15,0.4057222571
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1186.26,253,0.4101164749
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1186.26,267.03,0.4101155913
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1186.26,281.06,0.4099892969
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1186.26,295.09,0.4023651129
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1186.26,309.12,0.4023651129
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1186.26,323.15,0.4023651129
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1181.26,253,0.4067208012
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1181.26,267.03,0.4067199137
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1181.26,281.06,0.4065930529
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1181.26,295.09,0.3989346782
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1181.26,309.12,0.3989346782
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1181.26,323.15,0.3989346782
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1176.26,253,0.4031800841
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1176.26,267.03,0.4031791929
10000000,1196.26,22940517.94,3.87,29.09,165.8,0.5,1176.26,281.06,0.4030517977
