P_net,T_in_ref_blk,p_high,PR,Pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_Q,UA_HTR,UA_LTR,UA_PHX,UA_cooler,W_turb_des,W_comp_des,W_recomp_des,Q_HX_des,C_PB,eta_cycle_des
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.67,1235.08,290.65,0.9800192757,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.51,1239.54,310.09,0.9307474497,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.7,1233.32,250.81,0.9764817636,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.94,1238.39,260.67,0.9894636228,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.75,1237.53,296.3,0.9726751734,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.96,1234.72,302.95,0.9896619641,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.8,1243.15,322.91,0.9789951709,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,1.04,1227.23,256.09,0.9938258251,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.78,1241.73,264.95,0.9768271845,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,1,1230.75,314.63,0.9918615544,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.88,1223.36,279.52,0.979589193,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.55,1224.92,283.35,0.9390572233,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.85,1225.45,293.51,0.97812824,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.82,1228.45,270.61,0.9765949151,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.65,1243.38,268.04,0.9805953617,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.6,1236.77,274.18,0.9728107441,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.6,1230.12,311.79,0.9665629033,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.52,1232.19,302.47,0.9310013232,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,1.01,1240.72,284.21,0.9993256151,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.46,1229.3,318.96,0.9156588667,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1103.96,24233787.65,3.24,16.13,200.58,0.95,1086.94,261.26,1.0098415538,3188239.90300895,1160959.94004452,2333033.41681052,22936.0562942106,40290369.0419997,8526070.47392431,8243119.21614271,50610083.4251452,18629838.3668327,0.4647528271
20000000,1103.96,24233787.65,3.24,16.13,200.58,0.9,1099,264.38,1.0085051645,3188239.90300895,1160959.94004452,2333033.41681052,22936.0562942106,40290369.0419997,8526070.47392431,8243119.21614271,50610083.4251452,18629838.3668327,0.4647528271
20000000,1103.96,24233787.65,3.24,16.13,200.58,0.8,1087.77,299.7,0.998590043,3188239.90300895,1160959.94004452,2333033.41681052,22936.0562942106,40290369.0419997,8526070.47392431,8243119.21614271,50610083.4251452,18629838.3668327,0.4647528271
20000000,1103.96,24233787.65,3.24,16.13,200.58,1,1102.79,323.76,1.0002394958,3188239.90300895,1160959.94004452,2333033.41681052,22936.0562942106,40290369.0419997,8526070.47392431,8243119.21614271,50610083.4251452,18629838.3668327,0.4647528271
20000000,1103.96,24233787.65,3.24,16.13,200.58,0.53,1103.51,281.03,0.9608515384,3188239.90300895,1160959.94004452,2333033.41681052,22936.0562942106,40290369.0419997,8526070.47392431,8243119.21614271,50610083.4251452,18629838.3668327,0.4647528271
20000000,1103.96,24233787.65,3.24,16.13,200.58,0.97,1093.33,279.26,1.0058240619,3188239.90300895,1160959.94004452,2333033.41681052,22936.0562942106,40290369.0419997,8526070.47392431,8243119.21614271,50610083.4251452,18629838.3668327,0.4647528271
20000000,1103.96,24233787.65,3.24,16.13,200.58,0.77,1090.99,303.83,0.9937059121,3188239.90300895,1160959.94004452,2333033.41681052,22936.0562942106,40290369.0419997,8526070.47392431,8243119.21614271,50610083.4251452,18629838.3668327,0.4647528271
20000000,1103.96,24233787.65,3.24,16.13,200.58,0.88,1098.39,308.15,1.0105128813,3188239.90300895,1160959.94004452,2333033.41681052,22936.0562942106,40290369.0419997,8526070.47392431,8243119.21614271,50610083.4251452,18629838.3668327,0.4647528271
20000000,1103.96,24233787.65,3.24,16.13,200.58,0.65,1096.32,285.8,0.9703768348,3188239.90300895,1160959.94004452,2333033.41681052,22936.0562942106,40290369.0419997,8526070.47392431,8243119.21614271,50610083.4251452,18629838.3668327,0.4647528271
