P_net,T_in_ref_blk,p_high,PR,Pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_Q,UA_HTR,UA_LTR,UA_PHX,UA_cooler,W_turb_des,W_comp_des,W_recomp_des,Q_HX_des,C_PB,eta_cycle_des,T_HTF_in
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.57,0.9963774566,284.26,0.9187160974,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164,1119.45
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.54,0.9988785246,268.31,0.9004637833,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164,1122.26
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.9,0.9921051695,303.86,0.9868281676,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164,1114.65
20000000,1123.52,22339370.33,2.8,18.6,293.67,1.05,0.9937428795,273.69,1.0022343167,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164,1116.49
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.66,0.9854386215,277.61,0.9478535118,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164,1107.16
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.59,0.9883135147,300.3,0.9250236348,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164,1110.39
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.83,0.9857768442,297.78,0.9894339911,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164,1107.54
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.86,0.9874056537,308.29,0.9857271825,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164,1109.37
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.71,0.9835338935,313.74,0.9594077943,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164,1105.02
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.8,0.9966266733,291.9,0.989321233,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164,1119.73
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.79,0.9847977784,276.51,0.989679748,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164,1106.44
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.94,0.9896842068,310.71,0.9885812654,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164,1111.93
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.62,0.9943926232,287.93,0.9472300992,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164,1117.22
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.73,0.9998575904,281.43,0.9801511983,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164,1123.36
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.95,0.9950156651,264.95,0.9905687822,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164,1117.92
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.5,0.9891590715,268.74,0.8640410782,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164,1111.34
20000000,1123.52,22339370.33,2.8,18.6,293.67,1,0.99151773,304.89,0.9947684946,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164,1113.99
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.98,0.9828752492,317.22,0.989182726,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164,1104.28
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.69,0.9903161492,294.76,0.9574548455,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164,1112.64
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.76,0.9977481487,285.86,0.990866358,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164,1120.99
20000000,1275.13,23263271.13,3.37,18.73,206.38,1.03,0.9919380769,303.13,0.9934172322,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845,1264.85
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.99,0.9849505541,282.58,0.9823287297,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845,1255.94
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.78,0.9906362489,267.9,0.9572196071,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845,1263.19
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.87,0.9943221475,299.1,0.9784866013,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845,1267.89
