P_net_W,T_in_ref_blk_K,p_high_Pa,PR,T_cold_set_K,T_high,load,T_HTF_in_K,T_amb_input_K,eta_gross,eta_Q
84688278.82,1262.89,24886626.85,2.96,845.3,1162.8890121768873,0.93,1256.32,311.45,0.5883163645909675,1.1026820723961273
84688278.82,1262.89,24886626.85,2.96,845.3,1162.8890121768873,0.78,1249.52,294.18,0.5873564555459413,1.089305786190026
84688278.82,1262.89,24886626.85,2.96,845.3,1162.8890121768873,0.57,1253.13,266.28,0.5854383731550171,1.0769723509602223
84688278.82,1262.89,24886626.85,2.96,845.3,1162.8890121768873,0.73,1258.28,288.26,0.5917179246331937,1.0923845877841045
84688278.82,1262.89,24886626.85,2.96,845.3,1162.8890121768873,0.51,1262.87,300.4,0.5780304701718392,1.0796728791960626
84688278.82,1262.89,24886626.85,2.96,845.3,1162.8890121768873,1.01,1250.87,282.88,0.596739335358327,1.1028900628286027
84688278.82,1262.89,24886626.85,2.96,845.3,1162.8890121768873,0.91,1260.55,273.46,0.597523420193663,1.1045558685876398
84688278.82,1262.89,24886626.85,2.96,845.3,1162.8890121768873,0.66,1254.37,306.28,0.5802457896598648,1.084695173962346
84688278.82,1262.89,24886626.85,2.96,845.3,1171.7779010657762,0.62,1253.71,317.54,0.5820568946736617,1.0835578590627015
84688278.82,1262.89,24886626.85,2.96,845.3,1171.7779010657762,0.69,1260.05,296.08,0.5882820486866811,1.093466898251255
84688278.82,1262.89,24886626.85,2.96,845.3,1171.7779010657762,0.56,1256.22,304.47,0.5806585182583496,1.080412447689823
84688278.82,1262.89,24886626.85,2.96,845.3,1171.7779010657762,0.95,1261.07,274.94,0.6022081929229331,1.1108907672850281
84688278.82,1262.89,24886626.85,2.96,845.3,1171.7779010657762,0.82,1252.14,268.88,0.5963701105554343,1.0964943376389182
84688278.82,1262.89,24886626.85,2.96,845.3,1171.7779010657762,0.75,1249.93,299.64,0.5851458155302642,1.090459757395926
84688278.82,1262.89,24886626.85,2.96,845.3,1171.7779010657762,0.87,1257.4,285.33,0.5991187528660528,1.1032946479683874
84688278.82,1262.89,24886626.85,2.96,845.3,1171.7779010657762,1.04,1248.53,277.6,0.6003295184105107,1.1060668867989136
84688278.82,1262.89,24886626.85,2.96,845.3,1180.666789954665,1.0,1252.08,274.51,0.604166983137039,1.1103604013943682
84688278.82,1262.89,24886626.85,2.96,845.3,1180.666789954665,0.51,1261.69,309.15,0.5835539759230579,1.0819150430336935
84688278.82,1262.89,24886626.85,2.96,845.3,1180.666789954665,0.85,1250.95,301.91,0.5919097548289994,1.1007276018097079
84688278.82,1262.89,24886626.85,2.96,845.3,1180.666789954665,0.74,1253.86,266.13,0.5982207722366497,1.0954213573904854
84688278.82,1262.89,24886626.85,2.96,845.3,1180.666789954665,0.65,1258.31,295.38,0.5913340790597394,1.0918859602244517
84688278.82,1262.89,24886626.85,2.96,845.3,1180.666789954665,0.97,1256.55,315.46,0.5964536203923082,1.1121621507484318
84688278.82,1262.89,24886626.85,2.96,845.3,1180.666789954665,0.81,1249.65,284.84,0.5988276236506219,1.0970474147495672
84688278.82,1262.89,24886626.85,2.96,845.3,1180.666789954665,0.57,1259.25,279.92,0.5938909929542546,1.0857732089659018
84688278.82,1262.89,24886626.85,2.96,845.3,1189.555678843554,0.51,1262.47,310.8,0.5869287987642728,1.08463477010829
84688278.82,1262.89,24886626.85,2.96,845.3,1189.555678843554,0.74,1252.46,293.08,0.5990109584014687,1.0978496898328638
84688278.82,1262.89,24886626.85,2.96,845.3,1189.555678843554,0.78,1256.45,277.86,0.6037640920023015,1.1040356525682078
84688278.82,1262.89,24886626.85,2.96,845.3,1189.555678843554,1.05,1254.56,270.37,0.6093227558192527,1.118110598387293
84688278.82,1262.89,24886626.85,2.96,845.3,1189.555678843554,0.87,1249.64,284.65,0.6039878023787493,1.1048835106265913
84688278.82,1262.89,24886626.85,2.96,845.3,1189.555678843554,0.7,1259.89,301.45,0.593789690564081,1.1003939295654648
84688278.82,1262.89,24886626.85,2.96,845.3,1189.555678843554,0.94,1250.82,313.89,0.5975830816221521,1.1098984530985414
84688278.82,1262.89,24886626.85,2.96,845.3,1189.555678843554,0.58,1259.13,265.22,0.597640816277986,1.0891610095258084
84688278.82,1262.89,24886626.85,2.96,845.3,1198.444567732443,0.84,1253.35,285.04,0.6078569915845788,1.1096990324484368
84688278.82,1262.89,24886626.85,2.96,845.3,1198.444567732443,0.94,1258.14,268.69,0.6116793832269718,1.1189504035855875
84688278.82,1262.89,24886626.85,2.96,845.3,1198.444567732443,0.87,1259.77,300.0,0.6021172046873239,1.1162769568038806
84688278.82,1262.89,24886626.85,2.96,845.3,1198.444567732443,0.75,1262.44,279.87,0.6081800701157571,1.1102259245857384
84688278.82,1262.89,24886626.85,2.96,845.3,1198.444567732443,0.68,1257.06,290.74,0.6032841532085146,1.100355254986782
84688278.82,1262.89,24886626.85,2.96,845.3,1198.444567732443,0.6,1251.59,305.24,0.5907972484345115,1.0885639270046945
84688278.82,1262.89,24886626.85,2.96,845.3,1198.444567732443,0.99,1254.38,275.37,0.6115816644779668,1.1187170081973112
84688278.82,1262.89,24886626.85,2.96,845.3,1198.444567732443,0.55,1248.88,315.35,0.5876204977045555,1.0816098308791544
84688278.82,1262.89,24886626.85,2.96,845.3,1207.3334566213316,0.63,1251.79,310.86,0.5955968835441136,1.0947953811425721
84688278.82,1262.89,24886626.85,2.96,845.3,1207.3334566213316,0.82,1258.97,317.77,0.604075561670785,1.115733237294691
84688278.82,1262.89,24886626.85,2.96,845.3,1207.3334566213316,0.52,1261.98,278.71,0.6024670200624428,1.09016004136778
84688278.82,1262.89,24886626.85,2.96,845.3,1207.3334566213316,0.94,1248.05,290.29,0.6113147597079363,1.114658617323533
84688278.82,1262.89,24886626.85,2.96,845.3,1207.3334566213316,0.91,1259.66,299.54,0.6064083693891742,1.1213939386617564
84688278.82,1262.89,24886626.85,2.96,845.3,1207.3334566213316,1.04,1253.86,268.05,0.6156912167902735,1.123313131540738
84688278.82,1262.89,24886626.85,2.96,845.3,1207.3334566213316,0.75,1251.46,273.11,0.608436142532539,1.1052617892077297
84688278.82,1262.89,24886626.85,2.96,845.3,1207.3334566213316,0.7,1255.86,295.33,0.6029159586231168,1.1045437811786705
84688278.82,1262.89,24886626.85,2.96,845.3,1216.2223455102205,0.82,1248.55,282.05,0.6129928342005615,1.1096642628911202
84688278.82,1262.89,24886626.85,2.96,845.3,1216.2223455102205,0.99,1259.91,271.35,0.619859902480263,1.1263259885235333
84688278.82,1262.89,24886626.85,2.96,845.3,1216.2223455102205,0.51,1254.88,303.23,0.5942023366322301,1.0845535105009405
84688278.82,1262.89,24886626.85,2.96,845.3,1216.2223455102205,0.7,1250.84,313.64,0.6014477119287351,1.10245370846374
84688278.82,1262.89,24886626.85,2.96,845.3,1216.2223455102205,0.76,1256.07,267.41,0.6136099263886281,1.1110748169942952
84688278.82,1262.89,24886626.85,2.96,845.3,1216.2223455102205,0.89,1258.73,296.18,0.6106114257261916,1.1209232830830913
84688278.82,1262.89,24886626.85,2.96,845.3,1216.2223455102205,0.6,1261.96,284.87,0.6095286614426962,1.101226474745684
84688278.82,1262.89,24886626.85,2.96,845.3,1216.2223455102205,0.92,1253.09,308.13,0.6080727027195797,1.1185434016468325
84688278.82,1262.89,24886626.85,2.96,845.3,1225.1112343991094,0.8,1262.32,284.05,0.61984795958078,1.1177834644989002
84688278.82,1262.89,24886626.85,2.96,845.3,1225.1112343991094,0.62,1252.66,277.03,0.6111512619538225,1.0962546663555357
