H_drop_design,Q_in,T_in_design,T_out_design,T_amb,mdot,eta_rcv
40.445063,271220248.3,892.260185,1044.960473,293.040645,884.691381,0.618981
44.870624,545846162.4,883.190598,1328.270197,300.458495,482.15796,0.508362
44.737872,647637027.7,947.732728,1084.271011,282.386484,2993.78141,0.796074
9.365111,920109638.9,943.291125,1038.445029,283.611568,7684.837922,0.994723
22.7192,462006029.4,891.496443,1205.988853,285.819612,1040.511157,0.901573
19.37363,275721422.9,788.131822,1432.615304,294.125627,266.568094,0.805436
40.837296,971719268.4,839.646791,1074.825873,282.073227,2983.703014,0.893834
22.99326,763485902.8,890.820046,1293.803947,271.443672,1363.977454,0.927624
31.567393,230287526.7,929.165669,1046.505064,286.290783,1151.051302,0.733361
13.218467,574428606.3,811.064236,1195.652203,272.384036,1160.281243,0.974874
10.975986,31367826.59,958.481812,1118.654357,309.262373,104.746709,0.679178
14.204022,365181359.5,850.890641,1343.614322,268.983784,535.751109,0.932145
20.583339,826101360.8,816.421952,1160.931171,268.939441,1843.967496,0.960874
32.53183,706724176.3,803.332343,1321.305903,307.36361,904.50421,0.846066
15.822759,988966218.4,922.530173,1365.817843,301.763042,1658.857516,0.971779
15.626407,182734784,963.641585,1464.201102,272.921021,215.828652,0.786806
21.256227,631881736.9,825.100631,1024.458846,313.411483,2489.228845,0.961893
17.620697,805437131.9,959.588212,1170.823416,297.139192,2893.789847,0.971142
29.842694,205854510.4,817.77252,1091.693832,292.632197,415.897454,0.684317
11.726382,374763929.3,806.004112,1162.329095,267.660371,817.683159,0.969989
17.921947,635857134,933.442383,1294.61486,275.20472,1285.584882,0.946891
28.985775,249149225.3,813.548685,1309.06882,303.927615,219.521212,0.557141
8.768676,862462318.1,909.834887,1062.795678,307.564325,4489.625357,0.995071
37.655132,961000484.8,814.325113,1187.202292,293.670853,1817.097319,0.884158
33.276239,588532393.1,858.346833,1377.333065,304.237208,672.958523,0.769558
10.288585,508740393.2,816.765642,1297.872602,296.443454,811.804412,0.978636
5.264823,144605300.3,864.975629,1113.846088,274.216236,458.372264,0.986462
48.866219,916447727.7,888.370383,1114.589231,300.282659,2656.975748,0.823299
10.832589,865181595.4,797.502778,1426.90689,285.823648,1045.033248,0.983382
26.104869,403803915.3,841.611919,1036.817689,272.613727,1510.240409,0.898515
26.120038,114619786.3,799.967657,1250.138257,279.237885,0,0
14.824779,361481619.8,956.881128,1396.562985,263.630542,572.132465,0.917513
38.254602,60531989.62,808.727236,1028.198688,317.316114,-1.28522,0
30.042071,422502250.1,843.810507,1357.136576,265.076236,467.317173,0.73271
42.26638,160845486.4,956.663821,1414.877552,263.339366,0,0
