H_rcv,Q_in,T_in_design,T_out_design,T_amb,mdot,eta_rcv
35.529464,174475829.300000,806.491528,1246.480829,266.679837,-1.000000,-1.000000
49.376066,134505868.500000,831.688066,1043.439643,294.820282,-1.000000,-1.000000
18.125592,44645303.510000,842.574156,1044.433130,293.892870,73.355676,0.408757
28.599642,118038250.900000,832.594484,1186.985922,301.272573,-1.000000,-1.000000
31.875085,438380691.700000,853.987186,1180.321915,271.267332,866.661315,0.813381
48.882814,96797205.620000,863.964157,1261.511433,267.803733,-1.000000,-1.000000
36.554056,394859002.800000,829.950960,1036.786656,299.832336,1253.703711,0.806629
49.018625,193988246.200000,801.841206,1271.772720,286.976825,-1.000000,-1.000000
5.519272,696349657.000000,849.667800,1092.459117,266.521677,2301.214929,0.997526
23.055812,167756039.800000,802.787522,1023.743764,286.842166,507.926708,0.816137
10.004959,2347822.612000,860.631387,1060.985535,292.797026,-1.000000,-1.000000
30.179661,594172016.300000,822.566620,1257.948777,302.184133,925.460457,0.860363
14.547572,736160461.000000,831.972358,1269.914016,274.992489,1284.798714,0.972799
33.138110,908714104.700000,853.649956,1246.276855,317.358748,1622.905504,0.892479
33.230273,593453754.100000,825.490073,1049.492101,301.720580,1916.650164,0.889742
34.248314,30828817.130000,829.468592,1239.286541,272.512855,-1.000000,-1.000000
25.023780,978039469.300000,855.587468,1032.039510,270.209779,4341.711837,0.965553
5.438513,272459326.800000,870.262531,1231.599917,310.652189,586.735291,0.990864
15.112036,474244206.800000,819.914814,1262.225422,290.823194,803.603866,0.951079
41.788198,63030936.920000,828.601629,1124.028728,271.075525,-1.000000,-1.000000
42.699215,34820466.220000,846.414169,1067.911159,289.376625,-1.000000,-1.000000
40.462498,700806665.800000,816.427980,1212.465437,311.161059,1135.349180,0.807881
33.026681,942791893.800000,855.914687,1099.062008,307.695472,2877.973889,0.924677
17.489995,235283251.300000,860.429905,1119.945215,274.744959,653.900144,0.902070
9.981495,1517262.408000,852.433902,1193.280604,289.801321,-1.000000,-1.000000
11.268921,476062380.200000,852.349687,1108.014017,270.502281,1467.699749,0.982740
9.196833,156435801.000000,817.905536,1264.283800,307.899982,259.489569,0.939563
33.265844,431035254.400000,811.482615,1195.640318,313.267511,704.377690,0.787873
27.621344,543358501.000000,872.772157,1137.998091,306.657719,1461.686368,0.896568
29.913339,27671118.640000,853.992540,1235.375873,317.428327,-1.000000,-1.000000
29.227309,472131780.500000,808.670359,1084.192500,283.390044,1226.257474,0.882466
29.928467,136468745.900000,810.724779,1177.432106,310.171448,62.759310,0.211050
5.645370,870645858.800000,834.977011,1030.899674,267.339712,3611.787227,0.998201
43.285453,401103065.900000,849.470047,1199.726511,311.341816,493.058556,0.543984
42.985389,910592080.800000,831.308718,1025.295466,284.009847,3397.868206,0.887646
30.190581,783927916.500000,849.250707,1272.270721,314.856332,1292.633358,0.890453
31.751215,216027282.900000,851.341388,1051.710724,304.312689,616.152551,0.706176
36.155494,215244363.900000,840.179391,1088.058255,276.409799,366.494811,0.523551
38.798478,706892965.800000,813.439022,1123.363526,265.836654,1566.507493,0.852847
42.576359,436456049.500000,870.795137,1241.599374,285.353389,511.692104,0.554403
7.253000,745172344.700000,840.915043,1077.289479,263.871827,2535.457834,0.996101
