H_drop_design,T_out_design,T_amb_design,T_in_design,Q_in,eta_rcv,q_limit
20.6907595905,1454.2880842058,288.8207118894,1302.8336729898,237730172.323453,0.7063086281,120422043.739525
20.6907595905,1454.2880842058,288.8207118894,1302.8336729898,975704256.79395,0.9323559641,120422043.739525
20.6907595905,1454.2880842058,288.8207118894,1302.8336729898,334444946.526342,0.7941255917,120422043.739525
20.6907595905,1454.2880842058,288.8207118894,1302.8336729898,380731018.055033,0.8200955768,120422043.739525
20.6907595905,1454.2880842058,288.8207118894,1302.8336729898,497892454.238752,0.8643463375,120422043.739525
20.6907595905,1454.2880842058,288.8207118894,1302.8336729898,405561376.436333,0.8315753277,120422043.739525
20.6907595905,1454.2880842058,288.8207118894,1302.8336729898,587677218.234706,0.8859217877,120422043.739525
20.6907595905,1454.2880842058,288.8207118894,1302.8336729898,181416040.964312,0.603154617,120422043.739525
20.6907595905,1454.2880842058,288.8207118894,1302.8336729898,433641977.019034,0.8429590151,120422043.739525
20.6907595905,1454.2880842058,288.8207118894,1302.8336729898,756661912.575011,0.9121009756,120422043.739525
20.6907595905,1454.2880842058,288.8207118894,1302.8336729898,934711079.107628,0.9293075141,120422043.739525
20.6907595905,1454.2880842058,288.8207118894,1302.8336729898,859947473.513311,0.9231172418,120422043.739525
20.6907595905,1454.2880842058,288.8207118894,1302.8336729898,131517026.612118,0.0201203789,120422043.739525
20.6907595905,1454.2880842058,288.8207118894,1302.8336729898,295135477.760564,0.7656379584,120422043.739525
20.6907595905,1454.2880842058,288.8207118894,1302.8336729898,815979736.188737,0.9186941429,120422043.739525
20.6907595905,1454.2880842058,288.8207118894,1302.8336729898,526478561.562266,0.8720400715,120422043.739525
20.6907595905,1454.2880842058,288.8207118894,1302.8336729898,906410079.420278,0.9271707222,120422043.739525
20.6907595905,1454.2880842058,288.8207118894,1302.8336729898,644762448.494403,0.896420288,120422043.739525
20.6907595905,1454.2880842058,288.8207118894,1302.8336729898,668634300.498234,0.9002609205,120422043.739525
20.6907595905,1454.2880842058,288.8207118894,1302.8336729898,697552503.851514,0.9043746195,120422043.739525
36.4907357272,1143.3160883128,279.3187138329,857.4185639878,841847987.613975,0.8891316269,186487167.844139
36.4907357272,1143.3160883128,279.3187138329,857.4185639878,571524888.810168,0.8324089124,186487167.844139
36.4907357272,1143.3160883128,279.3187138329,857.4185639878,298321033.577777,0.6319151889,186487167.844139
36.4907357272,1143.3160883128,279.3187138329,857.4185639878,217657952.919298,0.4164678943,186487167.844139
36.4907357272,1143.3160883128,279.3187138329,857.4185639878,818137013.783188,0.1834835128,186487167.844139
36.4907357272,1143.3160883128,279.3187138329,857.4185639878,611535457.818857,0.8435672447,186487167.844139
