H_drop_design,T_out_design,T_amb_design,T_in_design,Q_in,eta_rcv,Q_limit
20.6311423975,1452.1058911696,294.0024626587,1199.3726241311,695646433.937342,0.9083945216,128328469.427431
20.6311423975,1452.1058911696,294.0024626587,1199.3726241311,615596111.980268,0.8955127917,128328469.427431
20.6311423975,1452.1058911696,294.0024626587,1199.3726241311,793935752.000038,0.9205756325,128328469.427431
20.6311423975,1452.1058911696,294.0024626587,1199.3726241311,290132791.392198,0.7707775482,128328469.427431
20.6311423975,1452.1058911696,294.0024626587,1199.3726241311,890876719.335395,0.9298523331,128328469.427431
20.6311423975,1452.1058911696,294.0024626587,1199.3726241311,348235098.163152,0.8105227538,128328469.427431
20.6311423975,1452.1058911696,294.0024626587,1199.3726241311,488624766.001348,0.8664731922,128328469.427431
20.6311423975,1452.1058911696,294.0024626587,1199.3726241311,131715080.81712,0.3230334101,128328469.427431
20.6311423975,1452.1058911696,294.0024626587,1199.3726241311,446901355.607234,0.853443968,128328469.427431
20.6311423975,1452.1058911696,294.0024626587,1199.3726241311,932228451.727687,0.9331925659,128328469.427431
20.6311423975,1452.1058911696,294.0024626587,1199.3726241311,837126305.665,0.9249879815,128328469.427431
20.6311423975,1452.1058911696,294.0024626587,1199.3726241311,221774606.083904,0.6897531071,128328469.427431
20.6311423975,1452.1058911696,294.0024626587,1199.3726241311,560189938.585922,0.8844305157,128328469.427431
20.6311423975,1452.1058911696,294.0024626587,1199.3726241311,317519751.943124,0.7915323147,128328469.427431
20.6311423975,1452.1058911696,294.0024626587,1199.3726241311,743319829.556026,0.9147201716,128328469.427431
20.6311423975,1452.1058911696,294.0024626587,1199.3726241311,412598603.363422,0.8408286437,128328469.427431
20.6311423975,1452.1058911696,294.0024626587,1199.3726241311,592886872.021411,0.891219426,128328469.427431
20.6311423975,1452.1058911696,294.0024626587,1199.3726241311,189683942.261745,0.6217611121,128328469.427431
20.6311423975,1452.1058911696,294.0024626587,1199.3726241311,988126800.560422,0.9372388208,128328469.427431
20.6311423975,1452.1058911696,294.0024626587,1199.3726241311,676325574.639507,0.9055692716,128328469.427431
39.7664353257,1175.3327084394,274.1832776825,1043.5491029297,749183214.737556,0.8247915932,229936219.252696
39.7664353257,1175.3327084394,274.1832776825,1043.5491029297,956805390.696593,0.8645390061,229936219.252696
39.7664353257,1175.3327084394,274.1832776825,1043.5491029297,976075613.026002,0.8673609954,229936219.252696
39.7664353257,1175.3327084394,274.1832776825,1043.5491029297,393971939.352068,0.6566859728,229936219.252696
39.7664353257,1175.3327084394,274.1832776825,1043.5491029297,276966090.4413,0.4655989022,229936219.252696
39.7664353257,1175.3327084394,274.1832776825,1043.5491029297,872563910.500756,0.850708318,229936219.252696
39.7664353257,1175.3327084394,274.1832776825,1043.5491029297,838933779.375148,0.8444008172,229936219.252696
39.7664353257,1175.3327084394,274.1832776825,1043.5491029297,646644944.024942,0.7957983618,229936219.252696
39.7664353257,1175.3327084394,274.1832776825,1043.5491029297,506406143.297196,0.7371841457,229936219.252696
39.7664353257,1175.3327084394,274.1832776825,1043.5491029297,590684703.227115,0.7757847013,229936219.252696
39.7664353257,1175.3327084394,274.1832776825,1043.5491029297,707637325.698379,0.8140433149,229936219.252696
39.7664353257,1175.3327084394,274.1832776825,1043.5491029297,685413527.221099,0.8077661372,229936219.252696
39.7664353257,1175.3327084394,274.1832776825,1043.5491029297,345296267.977886,0.6004447331,229936219.252696
39.7664353257,1175.3327084394,274.1832776825,1043.5491029297,780000341.458424,0.8320315526,229936219.252696
39.7664353257,1175.3327084394,274.1832776825,1043.5491029297,476317530.843356,0.7198959084,229936219.252696
39.7664353257,1175.3327084394,274.1832776825,1043.5491029297,368680974.622582,0.6299933805,229936219.252696
39.7664353257,1175.3327084394,274.1832776825,1043.5491029297,437442477.613404,0.6935816993,229936219.252696
39.7664353257,1175.3327084394,274.1832776825,1043.5491029297,564470456.726693,0.7650447688,229936219.252696
39.7664353257,1175.3327084394,274.1832776825,1043.5491029297,241738585.755031,0.3287371324,229936219.252696
39.7664353257,1175.3327084394,274.1832776825,1043.5491029297,907000814.474156,0.8566776783,229936219.252696
17.6503048625,1122.6239833713,279.8273240696,985.4935730841,350773530.664091,0.9357784214,47784853.091451
17.6503048625,1122.6239833713,279.8273240696,985.4935730841,918601519.052742,0.9768283663,47784853.091451
17.6503048625,1122.6239833713,279.8273240696,985.4935730841,89507583.7706474,0.7295695832,47784853.091451
17.6503048625,1122.6239833713,279.8273240696,985.4935730841,874586344.970187,0.9756191003,47784853.091451
17.6503048625,1122.6239833713,279.8273240696,985.4935730841,171583697.971586,0.8616621919,47784853.091451
17.6503048625,1122.6239833713,279.8273240696,985.4935730841,400908729.561792,0.9444309387,47784853.091451
17.6503048625,1122.6239833713,279.8273240696,985.4935730841,517524479.05294,0.9577280283,47784853.091451
17.6503048625,1122.6239833713,279.8273240696,985.4935730841,674093197.089532,0.9680171483,47784853.091451
17.6503048625,1122.6239833713,279.8273240696,985.4935730841,217643082.117303,0.8922009236,47784853.091451
17.6503048625,1122.6239833713,279.8273240696,985.4935730841,792124457.685074,0.9729771628,47784853.091451
17.6503048625,1122.6239833713,279.8273240696,985.4935730841,624693067.248804,0.965356119,47784853.091451
17.6503048625,1122.6239833713,279.8273240696,985.4935730841,975347672.453255,0.978221071,47784853.091451
17.6503048625,1122.6239833713,279.8273240696,985.4935730841,729723035.576084,0.9705635637,47784853.091451
17.6503048625,1122.6239833713,279.8273240696,985.4935730841,537184503.693957,0.9593688818,47784853.091451
17.6503048625,1122.6239833713,279.8273240696,985.4935730841,242964904.207895,0.9042306179,47784853.091451
17.6503048625,1122.6239833713,279.8273240696,985.4935730841,436930657.143975,0.9493475845,47784853.091451
17.6503048625,1122.6239833713,279.8273240696,985.4935730841,590500156.551483,0.9632393194,47784853.091451
17.6503048625,1122.6239833713,279.8273240696,985.4935730841,831653657.739263,0.9743115049,47784853.091451
17.6503048625,1122.6239833713,279.8273240696,985.4935730841,318259071.177886,0.9286055795,47784853.091451
17.6503048625,1122.6239833713,279.8273240696,985.4935730841,133279192.758203,0.8213283704,47784853.091451
39.1046956829,1298.6417240043,313.963950606,1045.42458488,728464415.227418,0.7776944201,307316036.051523
39.1046956829,1298.6417240043,313.963950606,1045.42458488,805970711.258965,0.7999174446,307316036.051523
39.1046956829,1298.6417240043,313.963950606,1045.42458488,596413168.183685,0.723406738,307316036.051523
39.1046956829,1298.6417240043,313.963950606,1045.42458488,431916843.154788,0.5848827255,307316036.051523
39.1046956829,1298.6417240043,313.963950606,1045.42458488,679480190.684894,0.760587315,307316036.051523
39.1046956829,1298.6417240043,313.963950606,1045.42458488,980731353.341791,0.8363886752,307316036.051523
39.1046956829,1298.6417240043,313.963950606,1045.42458488,720217933.127019,0.7750070065,307316036.051523
39.1046956829,1298.6417240043,313.963950606,1045.42458488,584130197.401495,0.7167251649,307316036.051523
39.1046956829,1298.6417240043,313.963950606,1045.42458488,926958739.305926,0.8266599739,307316036.051523
39.1046956829,1298.6417240043,313.963950606,1045.42458488,311533434.416001,0.2742850371,307316036.051523
39.1046956829,1298.6417240043,313.963950606,1045.42458488,769863450.027013,0.7901895402,307316036.051523
39.1046956829,1298.6417240043,313.963950606,1045.42458488,845591433.543264,0.8095574301,307316036.051523
39.1046956829,1298.6417240043,313.963950606,1045.42458488,468543787.179241,0.6283604504,307316036.051523
39.1046956829,1298.6417240043,313.963950606,1045.42458488,402504553.746515,0.5405165818,307316036.051523
39.1046956829,1298.6417240043,313.963950606,1045.42458488,962486907.780059,0.8332086753,307316036.051523
39.1046956829,1298.6417240043,313.963950606,1045.42458488,876610741.886514,0.8164630232,307316036.051523
39.1046956829,1298.6417240043,313.963950606,1045.42458488,646374707.863214,0.7472190576,307316036.051523
39.1046956829,1298.6417240043,313.963950606,1045.42458488,494593084.137196,0.6535357248,307316036.051523
39.1046956829,1298.6417240043,313.963950606,1045.42458488,518062026.625947,0.6731098843,307316036.051523
39.1046956829,1298.6417240043,313.963950606,1045.42458488,353157011.129518,0.4348750653,307316036.051523
42.9564885854,1216.4349163663,314.5063617207,981.6910083699,524089629.336595,0.6793603199,302809970.401548
42.9564885854,1216.4349163663,314.5063617207,981.6910083699,609090264.097749,0.7312799581,302809970.401548
42.9564885854,1216.4349163663,314.5063617207,981.6910083699,820145978.198942,0.8043432074,302809970.401548
42.9564885854,1216.4349163663,314.5063617207,981.6910083699,708354827.266788,0.7721273905,302809970.401548
42.9564885854,1216.4349163663,314.5063617207,981.6910083699,648672944.272346,0.7494556581,302809970.401548
42.9564885854,1216.4349163663,314.5063617207,981.6910083699,418073925.026252,0.5680830753,302809970.401548
42.9564885854,1216.4349163663,314.5063617207,981.6910083699,321862196.561946,0.3408292598,302809970.401548
42.9564885854,1216.4349163663,314.5063617207,981.6910083699,671130362.436156,0.7585703782,302809970.401548
42.9564885854,1216.4349163663,314.5063617207,981.6910083699,489546079.78328,0.6507916477,302809970.401548
42.9564885854,1216.4349163663,314.5063617207,981.6910083699,995439281.741757,0.8393881972,302809970.401548
42.9564885854,1216.4349163663,314.5063617207,981.6910083699,855011645.137972,0.8124963958,302809970.401548
42.9564885854,1216.4349163663,314.5063617207,981.6910083699,866816572.832454,0.815099741,302809970.401548
42.9564885854,1216.4349163663,314.5063617207,981.6910083699,363960625.384932,0.4680554976,302809970.401548
42.9564885854,1216.4349163663,314.5063617207,981.6910083699,895935727.320809,0.8212166571,302809970.401548
42.9564885854,1216.4349163663,314.5063617207,981.6910083699,786052415.943768,0.7956113995,302809970.401548
42.9564885854,1216.4349163663,314.5063617207,981.6910083699,580516694.523039,0.7161126655,302809970.401548
42.9564885854,1216.4349163663,314.5063617207,981.6910083699,391443973.605492,0.5246118003,302809970.401548
42.9564885854,1216.4349163663,314.5063617207,981.6910083699,467326307.170643,0.6290985195,302809970.401548
42.9564885854,1216.4349163663,314.5063617207,981.6910083699,948773813.488054,0.831339095,302809970.401548
42.9564885854,1216.4349163663,314.5063617207,981.6910083699,732728101.475206,0.7801160255,302809970.401548
15.3182894795,1080.2956498612,255.9665955577,791.1850157353,265648748.060439,0.9366109549,55101477.4085466
15.3182894795,1080.2956498612,255.9665955577,791.1850157353,638006049.499662,0.9772083354,55101477.4085466
15.3182894795,1080.2956498612,255.9665955577,791.1850157353,690319502.840383,0.9792476148,55101477.4085466
15.3182894795,1080.2956498612,255.9665955577,791.1850157353,486571265.372255,0.9684007381,55101477.4085466
15.3182894795,1080.2956498612,255.9665955577,791.1850157353,619457439.353678,0.976389759,55101477.4085466
15.3182894795,1080.2956498612,255.9665955577,791.1850157353,539132315.310982,0.9720918214,55101477.4085466
15.3182894795,1080.2956498612,255.9665955577,791.1850157353,722637657.506841,0.9803395106,55101477.4085466
15.3182894795,1080.2956498612,255.9665955577,791.1850157353,360715087.983634,0.9548095738,55101477.4085466
15.3182894795,1080.2956498612,255.9665955577,791.1850157353,323493761.905022,0.948799539,55101477.4085466
15.3182894795,1080.2956498612,255.9665955577,791.1850157353,956833832.382486,0.9858006911,55101477.4085466
15.3182894795,1080.2956498612,255.9665955577,791.1850157353,919976406.384723,0.9851485257,55101477.4085466
15.3182894795,1080.2956498612,255.9665955577,791.1850157353,412214510.464015,0.9614048003,55101477.4085466
15.3182894795,1080.2956498612,255.9665955577,791.1850157353,875364978.892673,0.9842756772,55101477.4085466
15.3182894795,1080.2956498612,255.9665955577,791.1850157353,790179115.491117,0.9822944846,55101477.4085466
15.3182894795,1080.2956498612,255.9665955577,791.1850157353,199207033.895559,0.9159479107,55101477.4085466
15.3182894795,1080.2956498612,255.9665955577,791.1850157353,444903653.762934,0.9647872278,55101477.4085466
15.3182894795,1080.2956498612,255.9665955577,791.1850157353,137931613.856498,0.8814490395,55101477.4085466
15.3182894795,1080.2956498612,255.9665955577,791.1850157353,844240158.614081,0.9836044515,55101477.4085466
15.3182894795,1080.2956498612,255.9665955577,791.1850157353,100610064.894711,0.8344115177,55101477.4085466
15.3182894795,1080.2956498612,255.9665955577,791.1850157353,176933125.373617,0.9061974667,55101477.4085466
27.8137401277,1302.3529143177,304.1073265045,1124.6223387054,692897929.660041,0.8776500961,155308578.667313
27.8137401277,1302.3529143177,304.1073265045,1124.6223387054,186125756.805445,0.4543531534,155308578.667313
27.8137401277,1302.3529143177,304.1073265045,1124.6223387054,367479966.64397,0.7631352967,155308578.667313
27.8137401277,1302.3529143177,304.1073265045,1124.6223387054,409320926.722904,0.7881197804,155308578.667313
27.8137401277,1302.3529143177,304.1073265045,1124.6223387054,224971257.295908,0.5847878232,155308578.667313
27.8137401277,1302.3529143177,304.1073265045,1124.6223387054,757712205.180273,0.888759304,155308578.667313
27.8137401277,1302.3529143177,304.1073265045,1124.6223387054,608506244.305068,0.8596112288,155308578.667313
27.8137401277,1302.3529143177,304.1073265045,1124.6223387054,342217552.183776,0.7447926624,155308578.667313
27.8137401277,1302.3529143177,304.1073265045,1124.6223387054,642128096.857463,0.8673648326,155308578.667313
27.8137401277,1302.3529143177,304.1073265045,1124.6223387054,302802994.886929,0.7088899838,155308578.667313
27.8137401277,1302.3529143177,304.1073265045,1124.6223387054,471459856.164581,0.8168129871,155308578.667313
27.8137401277,1302.3529143177,304.1073265045,1124.6223387054,727931999.353375,0.883904796,155308578.667313
27.8137401277,1302.3529143177,304.1073265045,1124.6223387054,862091687.539728,0.9030598107,155308578.667313
27.8137401277,1302.3529143177,304.1073265045,1124.6223387054,568619638.531985,0.8492396475,155308578.667313
27.8137401277,1302.3529143177,304.1073265045,1124.6223387054,792832410.38281,0.8940048458,155308578.667313
27.8137401277,1302.3529143177,304.1073265045,1124.6223387054,245027557.120097,0.6276888977,155308578.667313
27.8137401277,1302.3529143177,304.1073265045,1124.6223387054,511424167.648929,0.8316083083,155308578.667313
27.8137401277,1302.3529143177,304.1073265045,1124.6223387054,979690564.627515,0.9153956901,155308578.667313
27.8137401277,1302.3529143177,304.1073265045,1124.6223387054,949712594.150706,0.9125541781,155308578.667313
27.8137401277,1302.3529143177,304.1073265045,1124.6223387054,892504480.233867,0.906575826,155308578.667313
37.6021803354,1192.7514152965,294.1403203974,1023.1817706154,310081600.902706,0.5782375805,216037818.859502
37.6021803354,1192.7514152965,294.1403203974,1023.1817706154,395801844.965406,0.6867963306,216037818.859502
37.6021803354,1192.7514152965,294.1403203974,1023.1817706154,627903738.101766,0.8074572495,216037818.859502
37.6021803354,1192.7514152965,294.1403203974,1023.1817706154,249431425.510634,0.4193946771,216037818.859502
37.6021803354,1192.7514152965,294.1403203974,1023.1817706154,895363727.523882,0.8669103497,216037818.859502
37.6021803354,1192.7514152965,294.1403203974,1023.1817706154,873473386.609187,0.8633803605,216037818.859502
37.6021803354,1192.7514152965,294.1403203974,1023.1817706154,567639609.069896,0.786487222,216037818.859502
37.6021803354,1192.7514152965,294.1403203974,1023.1817706154,673240775.017069,0.82076316,216037818.859502
37.6021803354,1192.7514152965,294.1403203974,1023.1817706154,457357006.882081,0.7326859712,216037818.859502
37.6021803354,1192.7514152965,294.1403203974,1023.1817706154,294015558.939082,0.5467349459,216037818.859502
37.6021803354,1192.7514152965,294.1403203974,1023.1817706154,421129165.806508,0.707727024,216037818.859502
37.6021803354,1192.7514152965,294.1403203974,1023.1817706154,930782003.713547,0.8722740797,216037818.859502
37.6021803354,1192.7514152965,294.1403203974,1023.1817706154,503387864.12548,0.7583313385,216037818.859502
37.6021803354,1192.7514152965,294.1403203974,1023.1817706154,716428438.619608,0.8319062046,216037818.859502
37.6021803354,1192.7514152965,294.1403203974,1023.1817706154,799589595.220987,0.8500693154,216037818.859502
37.6021803354,1192.7514152965,294.1403203974,1023.1817706154,358612425.531051,0.6487113718,216037818.859502
37.6021803354,1192.7514152965,294.1403203974,1023.1817706154,591144380.579442,0.7951819903,216037818.859502
37.6021803354,1192.7514152965,294.1403203974,1023.1817706154,829026712.938809,0.8556503092,216037818.859502
37.6021803354,1192.7514152965,294.1403203974,1023.1817706154,996005816.481935,0.881156656,216037818.859502
37.6021803354,1192.7514152965,294.1403203974,1023.1817706154,762211666.088855,0.8423804235,216037818.859502
