h_m,q_W,tamb_C,tin_C,tout_K,mdot_kg_per_s
41.700000,377471971.220000,14.850000,559.430000,1073.149983,886.369981
37.380000,705542409.040000,42.330000,559.810000,1073.149983,2087.597789
30.910000,390308440.490000,12.110000,527.380000,1073.149983,986.278092
42.260000,662741847.480000,20.360000,566.800000,1073.149983,1915.853107
33.330000,486012529.410000,13.610000,568.960000,1073.149983,1454.664900
26.680000,461076609.590000,17.410000,511.160000,1073.149983,1173.853449
28.640000,343396813.510000,41.490000,546.260000,1073.149983,934.218195
30.260000,607030061.360000,37.640000,543.990000,1073.149983,1741.582462
32.280000,754187917.470000,35.950000,504.880000,1073.149983,1908.216640
29.770000,317682152.090000,-4.590000,520.320000,1073.149983,760.555501
37.650000,770235316.230000,1.350000,519.610000,1073.149983,1981.692691
29.140000,777471558.280000,36.900000,542.920000,1073.149983,2287.712981
26.360000,487364600.400000,16.910000,541.020000,1073.149983,1387.178942
30.830000,550285926.090000,9.550000,524.250000,1073.149983,1447.029535
40.390000,479835997.350000,22.530000,553.120000,1073.149983,1242.276787
37.350000,554863015.900000,12.870000,510.930000,1073.149983,1324.961626
44.630000,746931829.200000,15.150000,545.200000,1073.149983,1991.034506
40.150000,330849790.940000,-4.680000,511.130000,1073.149983,620.897487
26.940000,595201737.390000,23.060000,555.030000,1073.149983,1814.732158
35.260000,488402046.670000,40.630000,511.600000,1073.149983,1168.401601
35.130000,836798134.750000,3.130000,564.970000,1073.149983,2611.125336
32.620000,606231941.950000,9.180000,512.700000,1073.149983,1531.702791
33.480000,810623945.220000,39.700000,500.530000,1073.149983,2023.917640
37.750000,833929672.520000,35.340000,562.170000,1073.149983,2537.316381
39.190000,532883305.540000,22.110000,520.870000,1073.149983,1281.229620
42.520000,737266118.620000,1.150000,544.320000,1073.149983,1985.179554
30.170000,302769036.720000,-3.030000,557.790000,1073.149983,816.292633
40.790000,314532498.730000,4.410000,504.270000,1073.149983,544.823750
27.950000,701524708.990000,7.210000,521.850000,1073.149983,1907.911236
41.020000,615487021.690000,41.520000,556.670000,1073.149983,1707.898085
35.160000,811935698.050000,39.070000,509.490000,1073.149983,2067.731941
27.680000,315712109.660000,5.880000,504.190000,1073.149983,737.962141
30.010000,808020008.680000,17.550000,520.280000,1073.149983,2188.353179
35.810000,391503955.500000,9.790000,522.140000,1073.149983,910.732568
35.580000,450878948.650000,16.800000,564.640000,1073.149983,1277.180753
27.840000,443892910.260000,37.310000,520.780000,1073.149983,1153.037041
25.660000,695081572.110000,19.410000,515.290000,1073.149983,1870.751661
33.910000,379140074.970000,27.770000,559.610000,1073.149983,1034.461749
44.340000,846367469.660000,-3.060000,520.340000,1073.149983,2114.908817
26.700000,733191718.920000,6.050000,518.070000,1073.149983,1988.105076
44.460000,570736195.490000,22.300000,548.620000,1073.149983,1448.469161
37.760000,632159498.350000,41.420000,506.580000,1073.149983,1520.647771
28.890000,440986164.240000,27.020000,546.030000,1073.149983,1239.944910
32.510000,730608590.930000,31.960000,518.890000,1073.149983,1926.860874
44.380000,530435383.560000,42.780000,543.040000,1073.149983,1294.144753
32.920000,636288634.110000,-0.950000,557.700000,1073.149983,1894.889858
44.900000,760760630.250000,39.860000,556.980000,1073.149983,2128.778606
27.240000,427140923.250000,-4.090000,522.100000,1073.149983,1111.698462
37.020000,514056175.440000,7.930000,546.690000,1073.149983,1372.830895
31.290000,387292809.010000,30.310000,543.840000,1073.149983,1033.803810
39.880000,587527186.170000,7.100000,559.000000,1073.149983,1641.128791
43.800000,782611881.940000,17.420000,567.440000,1073.149983,2309.038022
41.720000,379130370.090000,27.510000,523.890000,1073.149983,781.476054
