H_drop_design,Q_in,T_in_design,T_out_design,T_amb,mdot,eta_rcv,pred,truemdot
40.445063,271220248.3,892.260185,1044.960473,293.040645,884.691381,0.618981,803.1721191406,884.691381
44.870624,545846162.4,883.190598,1328.270197,300.458495,482.15796,0.508362,491.4713439941,482.15796
44.737872,647637027.7,947.732728,1084.271011,282.386484,2993.78141,0.796074,2917.6489257813,2993.78141
9.365111,920109638.9,943.291125,1038.445029,283.611568,7684.837922,0.994723,7828.6186523438,7684.837922
22.7192,462006029.4,891.496443,1205.988853,285.819612,1040.511157,0.901573,1026.7567138672,1040.511157
19.37363,275721422.9,788.131822,1432.615304,294.125627,266.568094,0.805436,191.3312835693,266.568094
40.837296,971719268.4,839.646791,1074.825873,282.073227,2983.703014,0.893834,3026.7438964844,2983.703014
22.99326,763485902.8,890.820046,1293.803947,271.443672,1363.977454,0.927624,1308.4331054688,1363.977454
31.567393,230287526.7,929.165669,1046.505064,286.290783,1151.051302,0.733361,1163.3972167969,1151.051302
13.218467,574428606.3,811.064236,1195.652203,272.384036,1160.281243,0.974874,1122.2349853516,1160.281243
10.975986,31367826.59,958.481812,1118.654357,309.262373,104.746709,0.679178,86.4258728027,104.746709
14.204022,365181359.5,850.890641,1343.614322,268.983784,535.751109,0.932145,605.3905639648,535.751109
20.583339,826101360.8,816.421952,1160.931171,268.939441,1843.967496,0.960874,1827.8527832031,1843.967496
32.53183,706724176.3,803.332343,1321.305903,307.36361,904.50421,0.846066,928.6173706055,904.50421
15.822759,988966218.4,922.530173,1365.817843,301.763042,1658.857516,0.971779,1648.3217773438,1658.857516
15.626407,182734784,963.641585,1464.201102,272.921021,215.828652,0.786806,215.8787994385,215.828652
21.256227,631881736.9,825.100631,1024.458846,313.411483,2489.228845,0.961893,2554.8781738281,2489.228845
17.620697,805437131.9,959.588212,1170.823416,297.139192,2893.789847,0.971142,2958.8767089844,2893.789847
29.842694,205854510.4,817.77252,1091.693832,292.632197,415.897454,0.684317,427.158203125,415.897454
11.726382,374763929.3,806.004112,1162.329095,267.660371,817.683159,0.969989,780.5324707031,817.683159
17.921947,635857134,933.442383,1294.61486,275.20472,1285.584882,0.946891,1263.451171875,1285.584882
28.985775,249149225.3,813.548685,1309.06882,303.927615,219.521212,0.557141,256.2986755371,219.521212
8.768676,862462318.1,909.834887,1062.795678,307.564325,4489.625357,0.995071,4703.650390625,4489.625357
37.655132,961000484.8,814.325113,1187.202292,293.670853,1817.097319,0.884158,1836.3310546875,1817.097319
33.276239,588532393.1,858.346833,1377.333065,304.237208,672.958523,0.769558,721.052734375,672.958523
10.288585,508740393.2,816.765642,1297.872602,296.443454,811.804412,0.978636,870.6524047852,811.804412
5.264823,144605300.3,864.975629,1113.846088,274.216236,458.372264,0.986462,492.6930236816,458.372264
48.866219,916447727.7,888.370383,1114.589231,300.282659,2656.975748,0.823299,2742.1301269531,2656.975748
10.832589,865181595.4,797.502778,1426.90689,285.823648,1045.033248,0.983382,1087.4825439453,1045.033248
26.104869,403803915.3,841.611919,1036.817689,272.613727,1510.240409,0.898515,1427.0975341797,1510.240409
26.120038,114619786.3,799.967657,1250.138257,279.237885,0,0,77.1189041138,0
14.824779,361481619.8,956.881128,1396.562985,263.630542,572.132465,0.917513,634.2742919922,572.132465
38.254602,60531989.62,808.727236,1028.198688,317.316114,-1.28522,0,-53.3550300598,-1.28522
30.042071,422502250.1,843.810507,1357.136576,265.076236,467.317173,0.73271,516.0281982422,467.317173
42.26638,160845486.4,956.663821,1414.877552,263.339366,0,0,5.4483985901,0
32.162776,425777547.8,889.58003,1438.377082,314.793647,361.431481,0.611686,331.5002441406,361.431481
11.444806,528233274,838.631783,1333.787792,277.470866,806.545958,0.971825,851.3740844727,806.545958
16.034716,568866196.6,890.454369,1074.707198,269.54327,2405.576921,0.972467,2458.9877929688,2405.576921
9.111154,528634548,916.716569,1282.505322,309.321511,1102.700906,0.985383,1072.3135986328,1102.700906
26.972208,740095800.9,914.471238,1193.373221,284.172542,1909.464065,0.9175,1868.4724121094,1909.464065
39.78179,851564189.4,861.696704,1258.318993,313.17917,1398.512265,0.831489,1421.6092529297,1398.512265
27.629445,940474601.9,952.314805,1081.437012,292.406803,5481.609688,0.949502,5519.8198242188,5481.609688
12.433974,297248068.8,773.25058,1332.03375,267.321795,391.487507,0.93621,433.0209350586,391.487507
8.288703,98726420.71,929.94709,1253.416859,283.224769,218.605308,0.923105,229.4323120117,218.605308
10.765702,228835047.1,794.021701,1154.936802,314.157455,487.473416,0.956256,471.599822998,487.473416
27.713324,48882918.41,784.278782,1236.606022,273.787257,-0.575532,0,34.3779754639,-0.575532
33.834737,970704694.9,797.554056,1081.832456,307.572022,2569.445811,0.925834,2519.1687011719,2569.445811
24.41487,450432120.5,807.30763,1240.664511,300.907978,724.86231,0.880448,786.7614746094,724.86231
12.786351,918546536.4,909.300662,1251.719812,276.205533,2056.566828,0.984824,2055.3369140625,2056.566828
6.417686,835879485,868.509516,1059.01031,312.233063,3527.661205,0.99742,3439.1149902344,3527.661205
31.419202,260756276.9,892.186488,1349.513347,266.239672,175.621168,0.399937,155.0976409912,175.621168
16.816582,470322613.9,898.251341,1358.145579,310.897652,728.394252,0.926682,779.0209350586,728.394252
31.888012,454053050.2,874.912898,1307.429244,276.471661,614.736222,0.754119,682.2291870117,614.736222
