P_net_W,T_in_ref_blk_K,p_high_Pa,PR,T_cold_set_K,delta,load,T_HTF_in_K,T_amb_input_K,eta_gross,eta_Q
126664046.41,1176.78,24383286.53,2.78,817.38,41.69,0.81,1122.31,304.62,0.5365287413815728,1.000522850255209
126664046.41,1176.78,24383286.53,2.78,817.38,41.69,0.98,1119.17,286.02,0.5471927544176145,1.001400144939929
126664046.41,1176.78,24383286.53,2.78,817.38,41.69,0.69,1129.01,300.58,0.5366858166975386,1.000609935610405
126664046.41,1176.78,24383286.53,2.78,817.38,41.69,0.85,1130.34,312.83,0.5396167375036888,1.0031213410017452
126664046.41,1176.78,24383286.53,2.78,817.38,41.69,0.72,1125.68,280.56,0.545394635673138,1.0003240492356917
126664046.41,1176.78,24383286.53,2.78,817.38,41.69,0.6,1134.67,267.76,0.5463330019923521,1.0008305086644085
126664046.41,1176.78,24383286.53,2.78,817.38,41.69,0.57,1116.14,297.38,0.5315575954016962,0.9990702001589802
126664046.41,1176.78,24383286.53,2.78,817.38,41.69,1.01,1124.29,273.2,0.5497525354245547,1.004463323196403
133797706.3,1239.53,24524506.37,2.98,803.1,99.49,0.98,1133.13,280.95,0.5404947561606934,1.010119839024524
133797706.3,1239.53,24524506.37,2.98,803.1,99.49,0.71,1121.46,275.68,0.5310807292795232,0.9998145904954728
133797706.3,1239.53,24524506.37,2.98,803.1,99.49,0.85,1124.21,314.0,0.5252546583385332,1.001031136275387
133797706.3,1239.53,24524506.37,2.98,803.1,99.49,0.67,1129.72,268.96,0.5328173940841986,1.0002838353614518
133797706.3,1239.53,24524506.37,2.98,803.1,99.49,0.53,1125.49,285.05,0.5294022374179322,0.9993277835756594
133797706.3,1239.53,24524506.37,2.98,803.1,99.49,0.79,1130.53,295.23,0.5301032120096695,1.0026606238472362
133797706.3,1239.53,24524506.37,2.98,803.1,99.49,0.58,1139.73,298.05,0.5253526848185852,1.0011749123192504
