Name,Rating,NumberOfUser,PopularitasXKepuasan,Address,lat,lon
Starbucks Reserve - Pakubuwono,4.7,2430,11421.0,"Jl. Pakubuwono VI No.10, Gunung, Kota Jakarta Selatan",-6.232856,106.7959564
Starbucks Kota Kasablanka,4.6,2288,10524.8,"Jl. Casablanca No.88, RW.5, Menteng Dalam, Kota Jakarta Selatan",-6.2242773,106.84271389999999
Starbucks Tebet,4.5,1759,7915.5,"Jl. Letjen M.T. Haryono No.9, RT.11/RW.5, Tebet Bar., Kota Jakarta Selatan",-6.242868700000001,106.8482325
Starbucks,4.5,1723,7753.5,"Jl. Kemang I No.1, RT.10/RW.5, Bangka, Kota Jakarta Selatan",-6.2578368,106.8149185
Starbucks,4.6,1433,6591.799999999999,"Senayan City Jalan Asia Afrika No.19 1 3, RT.1/RW.3, Gelora, Kota Jakarta Pusat",-6.227191099999999,106.7971131
Starbucks FX Sudirman,4.5,1462,6579.0,"FX Sudirman Lantai 1, Jl. Jend. Sudirman, RT.1/RW.3, Gelora, Kota Jakarta Pusat",-6.2248782999999985,106.80375670000001
Starbucks Coffee - Gandaria City Mall,4.6,1377,6334.2,"Gandaria City Mall Lt. G, Jl. Kyai Haji Moh Syafi Hadzami No. 8, Kebayoran Lama Utara, Kebayoran Lama, RT.10/RW.6, Kby. Lama Utara, Kota Jakarta Selatan",-6.2437255999999985,106.7839798
Starbucks,4.6,1284,5906.4,"Jl. Margonda Raya No.488, Pondok Cina, Kota Depok",-6.363862200000001,106.833459
Starbucks,4.4,946,4162.400000000001,"Margocity Lantai Ground Floor, Jl. Margonda Raya No.358, Kemiri Muka, Kota Depok",-6.3728248,106.83459409999999
Starbucks Galleries Lafayette,4.4,883,3885.2000000000003,"Pacific Place Lt. 4, Jalan Jendral Sudirman No.52-53, Senayan, Kebayoran Baru, RT.5/RW.3, Senayan, Kota Jakarta Selatan",-6.224881,106.81010249999999
Starbucks,4.5,859,3865.5,"Jl. Raya Kalibata, RT.9/RW.4, Rawajati, Kota Jakarta Selatan",-6.2566394,106.8520902
