Kecamatan,JumlahCS,PopWanita,PopPria,PopTotal,KepadatanPendudukPerCS
tebet,5,120296.0,119720.0,240016.0,48003.2
setia budi,9,58405.0,58595.0,117000.0,13000.0
kebayoran lama,8,161323.0,162264.0,323587.0,40448.375
kebayoran baru,38,78643.0,77926.0,156569.0,4120.236842105263
mampang prapatan,13,77693.0,79619.0,157312.0,12100.923076923076
pancoran,4,85333.0,86165.0,171498.0,42874.5
pasar minggu,8,154336.0,156779.0,311115.0,38889.375
cilandak,22,107090.0,106801.0,213891.0,9722.318181818182
pesanggrahan,5,129123.0,129395.0,258518.0,51703.6
jagakarsa,11,173774.0,176142.0,349916.0,31810.545454545456
