Name,Rating,NumberOfUser,Address,lat,lon
Nakita Kopi & roastery,4.9,13,"Jl. Kesatrian X No.17, RT.11/RW.3, Kb. Manggis, Kota Jakarta Timur",-6.2061022,106.8502646
Kopi Alunan,4.8,9,"Jl. Manggarai Selatan IX No.68, RT.10/RW.1, Bukit Duri, Kota Jakarta Selatan",-6.2181086,106.8581856
NEGARA Kopi,5,7,"Pasar Jatinegara, RT.11/RW.3, Bali Mester, Kota Jakarta Timur",-6.2197057,106.8682505
Key Coffee,5,1,"Pasaraya Lantai Basement #48 #1, Jl. Sultan Agung, RT.2/RW.8, Manggarai, Kota Jakarta Selatan",-6.209157,106.847171
Koffie Nation Barista Course & Coffee Shop,4.6,11,"Epicentrum Walk, Jl. HR. Rasuna Said, RT.2/RW.5, Kuningan, Karet Kuningan, Kota Jakarta Selatan",-6.2175026,106.8347138
Common Grounds Coffee and Roastery,4.4,650,"Jl. KH Mas Mansyur, Citywalk Sudirman GF No.Kav. 121, RT.10/RW.11, Karet Tengsin, Kota Jakarta Pusat",-6.2091216,106.8182931
TOKO KOPI TUAMUDA,5,23,"Jl. Prof. DR. Satrio No.235, RT.2/RW.6, Kuningan, Karet Kuningan, Kota Jakarta Selatan",-6.2206881,106.8207929
Rosso Micro Roastery,4.8,9,"Sinarmas MSIG Tower, Lower Ground floor, Jl. Setiabudi Raya No.2, RT.10/RW.1 RT.10, RT.10/RW.1, Kuningan, Karet Kuningan, Kota Jakarta Selatan",-6.2105397,106.8224547
Housebrew Specialty Coffee & Roastery,0,0,"Indofood Tower, Sudirman Plaza, Jl. Jend. Sudirman No.76-78, RT.3/RW.3, Kuningan, Karet Kuningan, Kota Jakarta Selatan",-6.2086998,106.8223482
Anomali Coffee WTC 3,4.5,4,"Jl. Jend. Sudirman No.Kav. 29, RT.8/RW.3, Kuningan, Karet, Kota Jakarta Selatan",-6.2147985,106.8189348
Warung Kopi BANG ANCAH,4.9,94,"Jl. Bend. Hilir Gg. 2 No.5, RT.11/RW.1, Bend. Hilir, Kota Jakarta Pusat",-6.2143282,106.8133712
Fillmore Coffee,4.6,851,"Jl. H. Sidik No.7, RW.6, Kuningan, Karet Kuningan, Kuningan",-6.220361,106.8234589
Kopi Enak Indonesia,4.5,303,"Jl. Bendungan Hilir No.96, RT.13/RW.6, Bend. Hilir, Kota Jakarta Pusat",-6.2100427,106.812469
