Name,Rating,NumberOfUser,Address,lat,lon,X
Nasi Goreng Kebuli Apjay Pak Ivan Panglima Polim IX,4.4,1786,"Jl panglima polim lX no 18 depan Alfa Midi No 18 rt02/07 kel melawai Keluhan, RT.2/RW.7, Melawai, Kota Jakarta Selatan",-6.249885,106.799555,7858.400000000001
Pondok Nasi Kebuli Ibu Hanna,4.4,1102,"Jl. KH. Abdullah Syafei No.42, RT.12/RW.9, Bukit Duri, Kota Jakarta Selatan",-6.2248831,106.8629074,4848.8
Warung Bhakti,4.2,845,"Jalan Bhakti Blok S, RT.11/RW.1, Rw. Bar., Kota Jakarta Selatan",-6.2332407,106.81512240000002,3549.0
Nasi Goreng Kambing Kebon Sirih - Bona Indah,4.3,794,"Jl. Karang Tengah Raya No.1C, RW.4, Lb. Bulus, Kota Jakarta Selatan",-6.3048331,106.781503,3414.2
Nasi Goreng MAFIA Tebet,4.1,758,"Jl. Tebet Raya No.27D, RT.1/RW.2, Tebet Tim., Kota Jakarta Selatan",-6.22939,106.8532221,3107.7999999999997
Nasi Goreng Bang H. ZEN,4.4,482,"Jl. Ciledug Raya, RT.11/RW.11, Cipulir, Kota Jakarta Selatan",-6.2382461,106.7741878,2120.8
Warung Apjay,4.3,429,"Panglima Polim St No.9, RT.2/RW.7, Pulo, South Jakarta City",-6.2498311,106.79980490000001,1844.6999999999998
Warpopski,4.7,378,"Jl. Tebet Timur Dalam Raya No.6A, Tebet Tim., Kota Jakarta Selatan",-6.2320989,106.85366570000001,1776.6000000000001
Nasi Goreng NUSANTARA,4.7,347,"Jl. Pahlawan No.8-10, Rempoa, Kota Tangerang Selatan",-6.296471700000001,106.75802350000001,1630.9
Nasi Goreng Nusantara Mpok Yani Rempoa,4.8,309,"Jl. Pahlawan No.37 D, Cemp. Putih, Kota Tangerang Selatan",-6.296554299999999,106.75787520000002,1483.2
Alahap,4.4,331,"Jl. Benda No.20c, RT.6/RW.4, Cilandak Tim., Kota Jakarta Selatan",-6.2757282,106.8158695,1456.4
