Name,Rating,NumberOfUser,Address,lat,lon
Nasi goreng mas suwardi,4.0,1,"RT.7/RW.11, Pisangan Baru, East Jakarta City",-6.2107328,106.8668055
Nasi goreng gondrong,0.0,0,"Jl. KayuManis Utara No.VIII, RT.11/RW.7, Kayu Manis, Kota Jakarta Timur",-6.2064225,106.8635087
Nasi Goreng Gila Bang Doel,5.0,1,"Jalan Kebon Kelapa, RT.1/RW.11, Utan Kayu Sel., Kota Jakarta Timur",-6.2059165,106.866051
Nasi Goreng 'Cacang',4.0,2,"Jl. Sukun IX No.3, RT.5/RW.9, Pisangan Baru, Kota Jakarta Timur",-6.2090888,106.8638931
Nasi Goreng Tegalan,5.0,1,"Jl. Tegalan No.1, RW.4, Palmeriam, Kota Jakarta Timur",-6.2025754,106.8578162
Nasi goreng bang topik,0.0,0,"Jl. Kayu Manis IX No.85, RT.18/RW.8, Kayu Manis, Kota Jakarta Timur",-6.2076797,106.8653196
Nasi Goreng Panjul,4.3,4,"Jl. Klp. Tunggal No.25, RT.1/RW.9, Utan Kayu Sel., Kota Jakarta Timur",-6.205639499999999,106.8673684
NASI GORENG YAHUUUD,5.0,6,"Jl. Pisangan Baru Tengah No.298, RT.5/RW.11, Pisangan Baru, Kota Jakarta Timur",-6.211443,106.86806
Nasi Goreng Wandi,4.3,3,"Jl. Slamet Riyadi IV, RT.8/RW.4, Kb. Manggis, Kota Jakarta Timur",-6.212447,106.8580635
Nasi goreng mas sugi,0.0,0,"Jl. Pisangan Baru III No.292-218, RT.9/RW.7, Pisangan Baru, Kota Jakarta Timur",-6.2123566,106.8677949
Nasi Goreng Sembayu,4.5,2,"Jl. Tegalan No.10-6, RT.9/RW.3, Palmeriam, Kota Jakarta Timur",-6.2020611,106.8580706
Nasi Goreng Nasi Rames Soto Ayam,0.0,0,"Jl. Matraman Raya No.56, RT.12/RW.2, Kb. Manggis, Kota Jakarta Timur",-6.2035561,106.8570734
Nasi Goreng Gila Miptahudin,5.0,2,"RT.8/RW.6, Pegangsaan, Central Jakarta City",-6.203698999999999,106.8506167
Nasi Goreng Atam,4.6,97,"Jl. Matraman Dalam III No.13, RT.11/RW.7, Pegangsaan, Kota Jakarta Pusat",-6.2057423,106.8538901
Warung Nasi goreng Jengkol,4.3,261,"Jl. Manggarai Utara 2 No.17, RT.15/RW.4, Manggarai, Kota Jakarta Selatan",-6.2096882,106.8504729
Nasi Goreng Manggut,5.0,1,"Jl. Manggarai Utara VI No.6, RT.8/RW.1, Manggarai, Kota Jakarta Selatan",-6.211965699999999,106.8532148
Nasi Goreng Mang Bagol,3.0,2,"Jl. Manggarai Utara 2 No.Rt 03, RT.6, Manggarai, Kota Jakarta Selatan",-6.2106255,106.8484766
"Warung Pisang Goreng Kepok Dan Tanduk ""Mang Cacan""",2.5,2,"depan smk karya guna, RT.15/RW.4, Manggarai, Kota Jakarta Selatan",-6.2112468,106.8515608
Nasi Goreng Si Udin,4.6,39,"Jl. Menteng Wadas Timur No.25, RT.6/RW.2, Ps. Manggis, Kota Jakarta Selatan",-6.2081064,106.8414808
Nasi Goreng Sarip Ambran,4.2,46,"Jl. Menteng Jaya No.4, RT.12/RW.9, Menteng, Kota Jakarta Pusat",-6.2060547,106.843923
NASI GORENG MAMA,4.3,12,"Jalan Menteng Wadas Timur II Rt 07 Rw 01 # 14 Pasar Manggis Setiabudi, Jakarta Selatan, RT.8/RW.1, Ps. Manggis, Kota Jakarta Selatan",-6.211435,106.842335
Nasi Goreng Anek Racik Menteng,4.7,9,"Jl. Menteng Sukabumi Gg. 2, RT.10/RW.3, Menteng, Kota Jakarta Pusat",-6.2060685,106.8419844
Nasi Goreng Betawi Pak Dedi,4.4,29,"Jl. Menteng Jaya No.1, RT.8/RW.8, Menteng, Kota Jakarta Pusat",-6.2068884,106.8462668
Nasi Goreng Mama And Seafood,4.0,2,"Kelurahan, RT.7/RW.1, Ps. Manggis, Kota Jakarta Selatan",-6.2117283,106.8425049
Nasi Goreng Pete,4.0,12,"Jl. Minangkabau Barat No.29A, Ps. Manggis, Kota Jakarta Selatan",-6.212390999999999,106.8445546
Nasi Goreng Gila Pakde Budi,4.5,61,"Jl. Malang No.2, RT.6/RW.7, Menteng, Kota Jakarta Pusat",-6.2034097,106.838935
Nasi Goreng Enakk Banget,3.7,6,"Jl. Dr. Saharjo No.55, RT.16/RW.8, Manggarai, Kota Jakarta Selatan",-6.213563499999999,106.8450632
Nasi Goreng LEMMAK,3.8,4,"Jl. Sawah Lunto No.54, RT.4/RW.1, Ps. Manggis, Kota Jakarta Selatan",-6.2136363,106.8428817
Nasi Goreng Kambing Mas Arif,4.5,6,"Jl. Muria Tanjakan No.76, RT.12/RW.2, Menteng Atas, Kota Jakarta Selatan",-6.2127606,106.8379917
"Pisang Goreng Tanduk 26 cm, Manggarai",5.0,4,"Jl dr saharjo rt 02 rw05 manggarai Kel, RT.2/RW.5, Manggarai, Kota Jakarta Selatan",-6.2093709,106.8476648
Kuliner Jakarta,0.0,0,"RT.5/RW.8, Pasar Manggis, Setiabudi, RT.5/RW.8, Ps. Manggis, Kota Jakarta Selatan",-6.211544,106.845172
Nasi Goreng Mozzarella YoFood,0.0,0,"Jl. Kawi Raya No. 26 pav, RT.6/RW.2, Guntur, Kota Jakarta Selatan",-6.209897,106.833952
Nasi Goreng bang Jack,0.0,0,"RT.6/RW.6, Guntur, South Jakarta City",-6.205622300000001,106.8319419
Nasi Goreng Bang Jabrix,0.0,0,"RT.6/RW.2, Guntur, South Jakarta City",-6.2098603,106.8333923
NASI GORENG ORTEGA,5.0,1,"Jl. Kuningan Madya, RT.1/RW.6, Guntur, Kota Jakarta Selatan",-6.210609499999999,106.8308451
Nasi Goreng Gondrong 45,5.0,1,"RT.11/RW.7, Menteng, Central Jakarta City",-6.2038883,106.8366662
Nasi goreng daging sapi,5.0,2,"Jl. Kuningan Madya, RT.6/RW.2, Menteng Atas, Kota Jakarta Selatan",-6.2105598,106.8323623
Nasi Goreng Bolot,5.0,1,"RT.6/RW.4, Menteng, Central Jakarta City",-6.2015191,106.833015
Nasi Goreng Gila,5.0,3,"Jl. Taman Masjid Sunda Klp. No.6, RT.6/RW.4, Menteng, Kota Jakarta Pusat",-6.2009621,106.8316143
"Nasi Goreng ""Gila"" Pak De Yono",5.0,7,"Jalan Tengah Pondok Kuliner Waduk Setiabudi # Setiabudi, Jl. Setia Budi Barat No.13, RT.2/RW.3, Kuningan, Setia Budi, Kota Jakarta Selatan",-6.2051116,106.8270451
Nasi Goreng Pak Dhe,0.0,0,"Kampung Makan, Jalan Kendal #22, Depan Stasiun Sudirman, Jakarta Pusat, RT.10/RW.6, Dukuh Atas, Menteng, Kota Jakarta Pusat",-6.2023838,106.8245947
nasigoreng bang topan,5.0,3,"Jl. Karet Karya II No.24, RT.8, RT.8/RW.7, Kuningan, Karet Kuningan, Kota Jakarta Selatan",-6.2122164,106.8270716
Nasi Goreng Mas man,0.0,0,"Jl. Kh. Mansyur No.6, RT.6/RW.11, Karet Tengsin, Kota Jakarta Pusat",-6.2063815,106.8198405
Nasi Goreng Ala-Ala,0.0,0,"Jl. Taman Sunda Kelapa, RT.6/RW.4, Menteng, Kota Jakarta Pusat",-6.2011202,106.8317727
Nasi Goreng Pohon Jambu,4.6,9,"Jl. Perintis Blok Kamboja No, RT.9/RW.2, Kuningan, Karet Kuningan, Kota Jakarta Selatan",-6.2138243,106.8237225
Nasi Goreng Teladan,5.0,2,"RT.15/RW.2, RT.15/RW.2, Kuningan, Karet, Kota Jakarta Selatan",-6.2132286,106.8249962
