Name,Rating,NumberOfUser,Address,lat,lon
Starbucks Stasiun Manggarai,4.6,824,"Jl. Manggarai Utara 2 No.23, RT.15/RW.4, Manggarai, South Jakarta City",-6.2103492,106.8504806
Starbucks,4.7,626,"Jl. Matraman Raya No.18, RW.1, Kb. Manggis, Kota Jakarta Timur",-6.2007588,106.8546333
Starbucks,4.7,28,"Allianz Tower, Jl. H. R. Rasuna Said No.2, RT.1/RW.6, Guntur, Kota Jakarta Selatan",-6.2098999,106.8311962
Starbucks,4.2,120,"Chase Plaza, Jl. Jend. Sudirman, RT.10/RW.1, Kuningan, Karet, South Jakarta City",-6.210214,106.8218459
Starbucks,4.4,88,"RT.3/RW.3, Kuningan, Setia Budi, South Jakarta City",-6.2040773,106.8237594
Starbucks,4.4,102,"Wisma 46, Lt.Ground Floor, Jl. Jend. Sudirman No.Kav 1, RT.10/RW.11, Karet Tengsin, Kota Jakarta Pusat",-6.203627,106.820355
Starbucks Mayapada II,4.4,68,"No.Kav 27,, Jl. Jend. Sudirman, RT.4/RW.2, Kuningan, Karet, Kota Jakarta Selatan",-6.213283,106.8201646
Starbucks Reserve Menara Astra,4.6,71,"Menara Astra, No.Kav 5, Jl. Jend. Sudirman No.10, RT.10/RW.11, Karet Tengsin, Kota Jakarta Pusat",-6.2072021,106.8214604
Starbucks TCC Batavia,4.3,35,"Jl. K.H. Mas Mansyur No.126, Karet Tengsin, Kota Jakarta Pusat",-6.2109498,106.8165258
Starbucks Citywalk Sudirman,4.6,478,"Citywalk Sudirman Lt. GF, Jalan Kh. Mas Mansyur Kav. 121, RT.10/RW.11, Karet Tengsin, Tanah Abang, RT.10/RW.11, Karet Tengsin, Kota Jakarta Pusat",-6.2087373,106.818633
Starbucks Sahid Sudirman Center,4.4,29,"Unnamed Road, RT.10/RW.11, Karet Tengsin, Kota Jakarta Pusat",-6.2105295,106.8187705
STARBUCKS BINUS ANGGREK,4.6,42,"RT.2/RW.9, Kebon Jeruk, West Jakarta City",-6.2020354,106.7810301
Starbucks Cityplaza Jatinegara,4.5,286,"Jalan Matraman No. 173-175, Balimester Jatinegara Jakarta 7, RT.7/RW.6, Bali Mester, Kota Jakarta Timur",-6.2141566,106.8645364
Starbucks SOGO,5.0,1,"RW No.15, RT.7/RW.15, Menteng Atas, South Jakarta City",-6.218760500000001,106.8427454
Starbucks,4.4,299,"Rasuna Epicentrum GF W 138A OT 138A, Jalan H.R Rasuna Said, Kuningan, RT.2/RW.5, Karet Kuningan, Kota Jakarta Selatan",-6.2179162,106.8350783
Starbucks,4.6,462,"Plaza Festival, Jl. H R Rasuna Said Kav C No. 22, Karet Kuningan, Setiabudi, RT.2/RW.5, Karet Kuningan, Kota Jakarta Selatan",-6.2209416,106.8331461
Starbucks Setiabudi One,4.5,785,"JL. HR Rasuna Said Kav. 62 1st Floor, Blok 2a, Jl. A No.1, RT.18/RW.2, Kuningan, Karet Kuningan, South Jakarta City",-6.215751399999999,106.8302755
Starbucks World Trade Center 2,4.5,45,"Gedung World Trade Center II, Lower Ground, Jl. Jenderal Sudirman Kav. 29-31, RT.8/RW.3, Kuningan, Karet, Kota Jakarta Selatan",-6.2156534,106.8215567
