country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,cloudopacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Pw Units,Relative humidity Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Indonesia,Solcast https://solcast.com,N/A,7.0,-6.2088,106.8456,10,deg.C,degree,%,deg.C,W/m2,W/m2,W/m2,W/m2,cm,%,cm,mbar,Degrees,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,cloudopacity,Dew Point,DHI,DNI,EBH,GHI,Pw,Relative humidity,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith
2009,1,1,0,0,23.5,-165,20.8,22.2,0.0,0.0,0.0,0.0,5.11,92.4,0.0,978.0,247,2.9,149
2009,1,1,1,0,23.3,-143,6.6,22.2,0.0,0.0,0.0,0.0,5.17,93.3,0.0,977.8,249,3.1,142
2009,1,1,2,0,23.2,-130,47.5,22.2,0.0,0.0,0.0,0.0,5.22,94.2,0.0,977.6,250,3.3,132
2009,1,1,3,0,23.0,-122,59.9,22.2,0.0,0.0,0.0,0.0,5.26,95.2,0.0,977.4,251,3.5,120
2009,1,1,4,0,23.2,-117,49.9,22.4,0.0,0.0,0.0,0.0,5.26,94.9,0.0,977.5,252,3.7,107
2009,1,1,5,0,23.7,-114,57.1,22.6,3.0,2.0,0.0,3.0,5.22,93.7,0.0,977.7,252,3.7,93
2009,1,1,6,0,24.3,-113,37.4,22.9,73.0,45.0,11.0,85.0,5.18,92.3,0.0,978.0,251,3.8,80
2009,1,1,7,0,24.7,-113,31.3,22.9,185.0,80.0,35.0,223.0,5.18,89.5,0.0,978.3,255,3.9,66
2009,1,1,8,0,25.2,-115,22.5,22.6,287.0,225.0,147.0,435.0,5.21,85.7,0.0,978.5,261,4.1,52
2009,1,1,9,0,25.6,-120,17.7,22.3,365.0,316.0,247.0,613.0,5.24,82.0,0.0,978.7,266,4.4,39
2009,1,1,10,0,25.7,-134,17.1,22.3,416.0,353.0,315.0,732.0,5.25,81.3,0.0,978.6,269,4.6,27
2009,1,1,11,0,25.7,-164,13.6,22.6,386.0,464.0,441.0,825.0,5.26,82.8,0.0,978.1,271,4.7,19
2009,1,1,12,0,25.7,157,45.5,22.9,363.0,162.0,155.0,521.0,5.26,84.7,0.0,977.7,272,4.9,20
2009,1,1,13,0,25.5,131,75.3,23.0,213.0,5.0,5.0,221.0,5.23,86.0,0.0,977.3,269,4.9,29
2009,1,1,14,0,25.3,119,79.3,22.9,149.0,2.0,1.0,153.0,5.19,86.7,0.0,976.9,263,4.8,41
2009,1,1,15,0,25.0,114,78.2,22.8,116.0,2.0,1.0,119.0,5.15,87.3,0.0,976.5,257,4.7,54
2009,1,1,16,0,25.0,113,65.6,22.8,96.0,10.0,3.0,101.0,5.1,87.4,0.0,976.7,252,4.4,68
2009,1,1,17,0,25.2,113,34.5,22.9,51.0,52.0,9.0,61.0,5.06,87.1,0.0,977.1,248,3.9,82
2009,1,1,18,0,25.3,114,40.7,22.9,10.0,20.0,3.0,13.0,5.01,86.7,0.0,977.7,243,3.4,96
2009,1,1,19,0,25.2,117,48.4,22.9,0.0,0.0,0.0,0.0,4.99,87.2,0.0,978.1,239,3.1,109
2009,1,1,20,0,24.9,123,49.0,22.8,0.0,0.0,0.0,0.0,4.99,88.2,0.0,978.5,238,3.0,122
2009,1,1,21,0,24.6,132,53.3,22.7,0.0,0.0,0.0,0.0,4.99,89.3,0.0,978.9,237,2.9,134
2009,1,1,22,0,24.3,146,50.8,22.6,0.0,0.0,0.0,0.0,5.03,90.1,0.0,979.1,239,2.9,144
2009,1,1,23,0,24.2,169,49.0,22.6,0.0,0.0,0.0,0.0,5.09,90.7,0.0,979.0,242,3.1,149
2009,1,2,0,0,24.0,-165,49.0,22.5,0.0,0.0,0.0,0.0,5.16,91.3,0.0,979.0,245,3.2,149
2009,1,2,1,0,23.9,-143,49.0,22.5,0.0,0.0,0.0,0.0,5.2,92.0,0.0,978.8,248,3.4,142
2009,1,2,2,0,23.6,-130,48.6,22.4,0.0,0.0,0.0,0.0,5.22,92.9,0.0,978.5,249,3.6,132
2009,1,2,3,0,23.4,-122,53.6,22.4,0.0,0.0,0.0,0.0,5.24,93.7,0.0,978.2,250,3.8,120
2009,1,2,4,0,23.7,-117,60.4,22.5,0.0,0.0,0.0,0.0,5.17,92.8,0.0,978.3,247,3.6,107
2009,1,2,5,0,24.3,-114,64.5,22.7,3.0,5.0,1.0,4.0,5.04,90.9,0.0,978.6,241,3.4,93
2009,1,2,6,0,24.9,-113,26.4,22.9,76.0,123.0,34.0,109.0,4.91,88.7,0.0,979.0,233,3.1,80
2009,1,2,7,0,25.5,-113,2.9,22.8,142.0,414.0,187.0,327.0,4.85,85.3,0.0,979.2,233,3.1,66
2009,1,2,8,0,26.1,-115,0.0,22.6,179.0,620.0,385.0,558.0,4.85,81.2,0.0,979.3,240,3.4,52
2009,1,2,9,0,26.7,-120,0.0,22.4,202.0,715.0,556.0,750.0,4.85,77.2,0.0,979.5,246,3.7,39
2009,1,2,10,0,27.2,-133,0.0,22.2,218.0,768.0,684.0,889.0,4.87,73.9,0.0,979.2,250,4.0,27
2009,1,2,11,0,27.7,-163,0.0,22.0,221.0,799.0,756.0,964.0,4.9,71.2,0.0,978.6,253,4.4,19
2009,1,2,12,0,28.1,157,0.1,21.9,207.0,826.0,777.0,970.0,4.93,68.8,0.0,978.0,256,4.7,20
2009,1,2,13,0,28.2,131,2.7,22.0,212.0,775.0,679.0,880.0,4.95,69.0,0.0,977.6,256,4.9,29
2009,1,2,14,0,27.9,119,1.8,22.2,171.0,786.0,590.0,751.0,4.97,71.2,0.0,977.2,254,4.8,41
2009,1,2,15,0,27.6,114,0.3,22.5,124.0,780.0,455.0,571.0,4.97,73.8,0.0,976.9,252,4.8,54
2009,1,2,16,0,27.2,113,1.4,22.7,87.0,680.0,264.0,347.0,4.9,76.3,0.0,977.1,248,4.5,68
2009,1,2,17,0,26.9,113,32.6,22.9,44.0,205.0,63.0,107.0,4.77,78.9,0.0,977.6,243,4.1,82
2009,1,2,18,0,26.5,114,13.7,23.0,9.0,5.0,1.0,10.0,4.63,81.5,0.0,978.2,236,3.7,95
2009,1,2,19,0,25.9,117,0.0,22.9,0.0,0.0,0.0,0.0,4.56,83.6,0.0,978.9,231,3.4,109
2009,1,2,20,0,25.3,122,0.0,22.7,0.0,0.0,0.0,0.0,4.54,85.3,0.0,979.5,227,3.1,122
2009,1,2,21,0,24.7,131,0.0,22.4,0.0,0.0,0.0,0.0,4.52,87.0,0.0,980.1,223,2.9,134
2009,1,2,22,0,24.3,146,0.0,22.2,0.0,0.0,0.0,0.0,4.51,88.0,0.0,980.3,222,2.8,144
2009,1,2,23,0,24.1,169,0.0,22.1,0.0,0.0,0.0,0.0,4.5,88.5,0.0,980.2,223,2.7,149
2009,1,3,0,0,23.8,-165,0.0,21.9,0.0,0.0,0.0,0.0,4.49,88.9,0.0,980.0,224,2.7,149
2009,1,3,1,0,23.6,-143,0.0,21.7,0.0,0.0,0.0,0.0,4.48,89.2,0.0,979.8,223,2.7,142
2009,1,3,2,0,23.5,-130,0.0,21.6,0.0,0.0,0.0,0.0,4.49,89.4,0.0,979.4,222,2.7,132
2009,1,3,3,0,23.3,-122,0.0,21.5,0.0,0.0,0.0,0.0,4.5,89.6,0.0,979.1,220,2.7,120
2009,1,3,4,0,23.4,-117,1.8,21.6,0.0,0.0,0.0,0.0,4.47,89.3,0.0,979.0,218,2.9,107
2009,1,3,5,0,23.8,-114,42.7,21.8,3.0,8.0,2.0,5.0,4.44,88.6,0.0,979.2,216,3.1,93
2009,1,3,6,0,24.3,-112,18.3,22.1,73.0,190.0,48.0,121.0,4.39,87.6,0.0,979.4,214,3.5,80
2009,1,3,7,0,25.1,-113,7.5,22.1,170.0,321.0,136.0,305.0,4.39,83.7,0.0,979.5,216,3.7,66
2009,1,3,8,0,26.0,-115,5.3,21.9,205.0,529.0,335.0,536.0,4.41,77.8,0.0,979.5,219,3.8,52
2009,1,3,9,0,27.1,-120,1.6,21.6,210.0,698.0,545.0,747.0,4.43,72.2,0.0,979.6,222,4.0,39
2009,1,3,10,0,27.8,-133,0.3,21.4,211.0,785.0,699.0,898.0,4.46,68.3,0.0,979.3,225,4.1,27
2009,1,3,11,0,28.3,-163,0.0,21.2,211.0,824.0,779.0,977.0,4.49,65.4,0.0,978.7,228,4.2,19
2009,1,3,12,0,28.8,157,0.2,21.0,204.0,833.0,785.0,975.0,4.52,62.9,0.0,978.1,231,4.4,20
2009,1,3,13,0,28.9,131,5.1,20.9,240.0,719.0,631.0,862.0,4.52,62.1,0.0,977.6,233,4.5,29
2009,1,3,14,0,28.8,119,2.2,20.9,173.0,790.0,591.0,754.0,4.51,62.5,0.0,977.2,234,4.6,41
2009,1,3,15,0,28.7,114,0.0,21.0,115.0,815.0,477.0,584.0,4.48,63.2,0.0,976.8,234,4.6,54
2009,1,3,16,0,28.3,112,0.0,21.1,81.0,726.0,281.0,357.0,4.45,64.8,0.0,977.0,235,4.5,68
2009,1,3,17,0,27.9,113,0.0,21.2,36.0,411.0,101.0,135.0,4.4,67.2,0.0,977.5,236,4.2,82
2009,1,3,18,0,27.4,114,0.0,21.4,6.0,88.0,15.0,21.0,4.36,69.9,0.0,978.0,237,3.8,95
2009,1,3,19,0,26.7,117,0.0,21.6,0.0,0.0,0.0,0.0,4.28,73.6,0.0,978.6,235,3.5,109
2009,1,3,20,0,25.9,122,0.0,21.7,0.0,0.0,0.0,0.0,4.17,78.1,0.0,979.1,232,3.3,122
2009,1,3,21,0,25.0,131,0.0,21.9,0.0,0.0,0.0,0.0,4.07,82.9,0.0,979.6,227,3.1,134
2009,1,3,22,0,24.5,146,0.0,21.9,0.0,0.0,0.0,0.0,3.97,85.8,0.0,979.8,224,3.0,144
2009,1,3,23,0,24.1,169,0.0,21.8,0.0,0.0,0.0,0.0,3.88,87.1,0.0,979.8,221,3.0,149
2009,1,4,0,0,23.8,-165,0.0,21.8,0.0,0.0,0.0,0.0,3.79,88.2,0.0,979.7,219,3.0,149
2009,1,4,1,0,23.6,-144,0.0,21.7,0.0,0.0,0.0,0.0,3.72,88.9,0.0,979.5,217,3.0,142
2009,1,4,2,0,23.4,-130,0.0,21.5,0.0,0.0,0.0,0.0,3.65,89.5,0.0,979.2,216,3.0,132
2009,1,4,3,0,23.2,-121,0.0,21.4,0.0,0.0,0.0,0.0,3.59,89.9,0.0,979.0,216,2.9,120
2009,1,4,4,0,23.3,-117,0.0,21.5,0.0,0.0,0.0,0.0,3.55,89.6,0.0,979.0,216,3.1,107
2009,1,4,5,0,23.6,-114,0.0,21.7,3.0,8.0,2.0,5.0,3.53,88.8,0.0,979.3,218,3.4,93
2009,1,4,6,0,24.0,-112,0.0,21.9,71.0,198.0,51.0,121.0,3.52,87.7,0.0,979.6,219,3.8,80
2009,1,4,7,0,24.7,-113,0.0,21.6,134.0,470.0,205.0,337.0,3.52,83.1,0.0,979.8,221,3.9,66
