country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,cloudopacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Pw Units,Relative humidity Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Indonesia,Solcast https://solcast.com,N/A,7,-6.2088,106.8456,10,deg.C,degree,%,deg.C,W/m2,W/m2,W/m2,W/m2,cm,%,cm,mbar,Degrees,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,cloudopacity,Dew Point,DHI,DNI,EBH,GHI,Pw,Relative humidity,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2008,1,1,0,0,24.9,-113,60.5,23.1,117,11,4,122,52.1,89.5,0,977.9,320,4.5,66,,
2008,1,1,1,0,25.1,-115,46.3,23,274,52,35,308,52,88.1,0,978.2,319,5,52,,
2008,1,1,2,0,25.3,-120,37,22.9,397,81,63,460,51.9,86.7,0,978.4,318,5.5,39,,
2008,1,1,3,0,25.5,-134,28.7,22.9,471,165,149,620,51.9,85.4,0,978.2,317,5.7,27,,
2008,1,1,4,0,25.8,-164,28,23,514,174,164,679,51.9,84.3,0,977.7,317,5.9,19,,
2008,1,1,5,0,26.1,157,23.7,23.1,488,252,236,724,52,83.3,0,977.2,317,5.9,20,,
2008,1,1,6,0,26.3,131,28.4,23,462,193,171,632,52.2,82.3,0,976.8,317,5.8,29,,
2008,1,1,7,0,26.3,119,29.8,22.8,392,176,132,523,52.6,81.3,0,976.3,317,5.6,41,,
2008,1,1,8,0,26.3,114,49.1,22.7,246,68,46,292,53.1,80.5,0,976,317,5.3,54,,
2008,1,1,9,0,26,113,57.7,22.7,126,17,6,132,53.5,82.1,0,976.1,315,4.8,68,,
2008,1,1,10,0,25.5,113,24.7,22.8,51,81,14,65,53.9,85.5,0,976.7,312,4.1,82,,
2008,1,1,11,0,24.9,114,44.4,23,9,33,6,15,54.2,89.3,0,977.4,307,3.4,96,,
2008,1,1,12,0,24.5,117,64.5,22.9,0,0,0,0,54.5,90.8,0,978,302,3.3,109,,
