P_net_W,T_in_ref_blk_K,p_high_Pa,PR,T_cold_set_K,delta,load,T_HTF_in_K,T_amb_input_K
120539409.89,1138.18,24097994.1,2.95,805.66,49.76,0.61,1077.18,270.29
120539409.89,1138.18,24097994.1,2.95,805.66,49.76,0.87,1072.47,299.7
120539409.89,1138.18,24097994.1,2.95,805.66,49.76,0.69,1081.53,287.41
120539409.89,1138.18,24097994.1,2.95,805.66,49.76,0.76,1069.92,315.18
120539409.89,1138.18,24097994.1,2.95,805.66,49.76,0.79,1085.76,264.0
120539409.89,1138.18,24097994.1,2.95,805.66,49.76,1.02,1075.2,283.57
120539409.89,1138.18,24097994.1,2.95,805.66,49.76,0.54,1086.59,296.18
120539409.89,1138.18,24097994.1,2.95,805.66,49.76,0.98,1078.63,307.5
127395039.59,1072.53,24617396.7,2.93,809.76,31.19,0.94,1035.32,296.56
127395039.59,1072.53,24617396.7,2.93,809.76,31.19,0.75,1024.94,265.98
127395039.59,1072.53,24617396.7,2.93,809.76,31.19,0.54,1036.8,283.43
127395039.59,1072.53,24617396.7,2.93,809.76,31.19,0.82,1041.02,285.48
127395039.59,1072.53,24617396.7,2.93,809.76,31.19,0.57,1028.08,312.2
127395039.59,1072.53,24617396.7,2.93,809.76,31.19,0.89,1029.37,273.83
127395039.59,1072.53,24617396.7,2.93,809.76,31.19,0.66,1033.81,306.85
127395039.59,1072.53,24617396.7,2.93,809.76,31.19,1.04,1023.77,298.81
143847290.31,1148.35,24657746.9,2.79,803.08,96.21,0.61,1037.14,267.69
143847290.31,1148.35,24657746.9,2.79,803.08,96.21,1.01,1036.28,305.17
143847290.31,1148.35,24657746.9,2.79,803.08,96.21,0.71,1047.51,313.77
143847290.31,1148.35,24657746.9,2.79,803.08,96.21,0.8,1041.09,279.62
143847290.31,1148.35,24657746.9,2.79,803.08,96.21,0.9,1051.21,298.26
143847290.31,1148.35,24657746.9,2.79,803.08,96.21,0.53,1032.68,284.59
143847290.31,1148.35,24657746.9,2.79,803.08,96.21,0.69,1046.63,270.49
143847290.31,1148.35,24657746.9,2.79,803.08,96.21,0.94,1042.85,292.95
52273273.55,1257.46,24432275.57,2.81,803.54,59.91,0.51,1186.69,285.56
52273273.55,1257.46,24432275.57,2.81,803.54,59.91,0.75,1183.37,312.14
52273273.55,1257.46,24432275.57,2.81,803.54,59.91,0.68,1197.4,279.8
52273273.55,1257.46,24432275.57,2.81,803.54,59.91,0.97,1188.33,267.42
52273273.55,1257.46,24432275.57,2.81,803.54,59.91,0.9,1192.69,291.64
52273273.55,1257.46,24432275.57,2.81,803.54,59.91,0.57,1179.65,303.71
52273273.55,1257.46,24432275.57,2.81,803.54,59.91,0.8,1191.2,270.81
52273273.55,1257.46,24432275.57,2.81,803.54,59.91,1.03,1182.2,309.42
63429601.63,1074.73,24099319.26,2.99,806.86,72.82,0.51,992.33,297.57
63429601.63,1074.73,24099319.26,2.99,806.86,72.82,0.92,1001.54,316.72
63429601.63,1074.73,24099319.26,2.99,806.86,72.82,0.8,995.95,296.77
63429601.63,1074.73,24099319.26,2.99,806.86,72.82,1.01,990.69,283.64
63429601.63,1074.73,24099319.26,2.99,806.86,72.82,0.89,988.5,265.65
63429601.63,1074.73,24099319.26,2.99,806.86,72.82,0.64,999.27,274.64
63429601.63,1074.73,24099319.26,2.99,806.86,72.82,0.76,982.9,284.41
63429601.63,1074.73,24099319.26,2.99,806.86,72.82,0.62,986.14,306.76
115586175.26,1179.16,24218652.2,2.75,820.91,52.66,0.89,1113.52,283.29
115586175.26,1179.16,24218652.2,2.75,820.91,52.66,0.79,1108.77,266.93
115586175.26,1179.16,24218652.2,2.75,820.91,52.66,0.53,1117.38,276.72
115586175.26,1179.16,24218652.2,2.75,820.91,52.66,0.58,1109.74,296.01
115586175.26,1179.16,24218652.2,2.75,820.91,52.66,1.01,1125.3,298.66
115586175.26,1179.16,24218652.2,2.75,820.91,52.66,0.68,1122.67,284.12
115586175.26,1179.16,24218652.2,2.75,820.91,52.66,0.73,1121.46,314.98
115586175.26,1179.16,24218652.2,2.75,820.91,52.66,0.98,1116.21,310.23
106657727.57,1204.24,24394075.36,2.99,829.61,81.45,0.91,1105.96,313.86
106657727.57,1204.24,24394075.36,2.99,829.61,81.45,0.61,1104.9,277.38
106657727.57,1204.24,24394075.36,2.99,829.61,81.45,0.52,1112.34,302.25
106657727.57,1204.24,24394075.36,2.99,829.61,81.45,0.7,1115.38,288.0
106657727.57,1204.24,24394075.36,2.99,829.61,81.45,1.01,1109.44,293.58
106657727.57,1204.24,24394075.36,2.99,829.61,81.45,0.73,1122.48,267.89
106657727.57,1204.24,24394075.36,2.99,829.61,81.45,0.95,1118.15,275.19
106657727.57,1204.24,24394075.36,2.99,829.61,81.45,0.79,1112.87,307.88
115089717.58,1243.32,24907667.57,2.98,812.67,24.74,0.84,1200.83,308.93
115089717.58,1243.32,24907667.57,2.98,812.67,24.74,1.02,1210.68,296.41
115089717.58,1243.32,24907667.57,2.98,812.67,24.74,0.85,1212.63,298.72
115089717.58,1243.32,24907667.57,2.98,812.67,24.74,0.51,1205.03,282.13
