T_in_ref_blk_K,p_high_Pa,PR,T_cold_set_K,delta,load,T_HTF_in_K,T_amb_input_K,P_net,eta_gross,eta_Q
1167.42,24382331.05,2.84,840.98,30.81,0.66,1135.9,277.43,100000000,-1000,-1000
1167.42,24382331.05,2.84,840.98,30.81,0.88,1120.9,285.94,100000000,-1000,-1000
1167.42,24382331.05,2.84,840.98,30.81,0.97,1128.06,275.47,100000000,0.5262398975,0.9975601033
1167.42,24382331.05,2.84,840.98,30.81,0.8,1118.13,318.01,100000000,-1000,-1000
1167.42,24382331.05,2.84,840.98,30.81,0.72,1132.84,293.63,100000000,-1000,-1000
1167.42,24382331.05,2.84,840.98,30.81,0.6,1125.72,269.33,100000000,0.036542645,0.6229084598
1167.42,24382331.05,2.84,840.98,30.81,1.04,1123.11,306.72,100000000,0.5186611446,0.9949167049
1167.42,24382331.05,2.84,840.98,30.81,0.55,1130.59,299.35,100000000,0.5316161336,1.0001270032
1187.95,24079350.71,2.86,807.91,84.17,0.78,1094.84,264.63,100000000,0.4981692091,2.6710805477
1187.95,24079350.71,2.86,807.91,84.17,0.93,1096.57,293.23,100000000,-1000,-1000
1187.95,24079350.71,2.86,807.91,84.17,0.61,1103.68,305.77,100000000,-1000,-1000
1187.95,24079350.71,2.86,807.91,84.17,0.76,1092.83,312.54,100000000,-1000,-1000
1187.95,24079350.71,2.86,807.91,84.17,0.65,1091.07,279.94,100000000,-1000,-1000
1187.95,24079350.71,2.86,807.91,84.17,0.51,1100.95,285.82,100000000,-1000,-1000
1187.95,24079350.71,2.86,807.91,84.17,0.89,1085.42,303.02,100000000,-1000,-1000
1187.95,24079350.71,2.86,807.91,84.17,1.01,1086.43,276.62,100000000,-1000,-1000
1030.4,24502512.2,2.81,847.78,87.35,0.89,923.49,281.83,100000000,0.4084385334,0.9716066291
1030.4,24502512.2,2.81,847.78,87.35,0.93,942.03,298.26,100000000,0.418314835,0.9769403328
1030.4,24502512.2,2.81,847.78,87.35,0.76,934.83,288.25,100000000,0.3987863896,0.9733231744
1030.4,24502512.2,2.81,847.78,87.35,0.83,935.71,273.63,100000000,0.4091006304,0.9716629696
1030.4,24502512.2,2.81,847.78,87.35,0.67,930.56,316.91,100000000,0.3639918579,0.949263807
1030.4,24502512.2,2.81,847.78,87.35,1.05,925.87,304.6,100000000,0.4160745372,0.9769832753
1030.4,24502512.2,2.81,847.78,87.35,0.53,940.22,267.33,100000000,0.3231422941,0.921621993
1030.4,24502512.2,2.81,847.78,87.35,0.62,928.68,297.52,100000000,0.3487842855,0.9343710698
1052.87,24659405.66,2.75,821.12,55.98,1,990.59,285.26,100000000,0.4729952324,0.9873983044
1052.87,24659405.66,2.75,821.12,55.98,0.64,987.51,306.9,100000000,0.3670913697,0.9298982821
1052.87,24659405.66,2.75,821.12,55.98,0.89,992.23,299.49,100000000,0.4479284632,0.9857757997
1052.87,24659405.66,2.75,821.12,55.98,0.91,984.43,273.56,100000000,0.4552956338,0.9843280068
1052.87,24659405.66,2.75,821.12,55.98,0.76,979.94,266.2,100000000,0.4186179319,0.9538079498
1052.87,24659405.66,2.75,821.12,55.98,0.53,982.07,281.06,100000000,0.2923760176,0.867574521
1052.87,24659405.66,2.75,821.12,55.98,0.57,976.91,295.65,100000000,0.3173106611,0.8934135011
1052.87,24659405.66,2.75,821.12,55.98,0.79,995.52,315.4,100000000,-1000,-1000
1229.41,24973842.44,2.74,836.87,90.07,1.03,1129.53,286.24,100000000,0.5209378641,1.0136238013
1229.41,24973842.44,2.74,836.87,90.07,0.72,1120.89,293.57,100000000,-1000,-1000
1229.41,24973842.44,2.74,836.87,90.07,0.68,1137.88,267.3,100000000,-1000,-1000
1229.41,24973842.44,2.74,836.87,90.07,0.58,1124.96,272.35,100000000,-1000,-1000
1229.41,24973842.44,2.74,836.87,90.07,0.53,1133.22,302.14,100000000,-1000,-1000
1229.41,24973842.44,2.74,836.87,90.07,0.9,1122.07,278.76,100000000,0.3439623192,0.8807033597
1229.41,24973842.44,2.74,836.87,90.07,0.84,1129.28,312.04,100000000,0.3954374757,0.9237413236
1229.41,24973842.44,2.74,836.87,90.07,0.96,1135.1,308.81,100000000,0.276499902,0.8341235165
1090.81,24093710.72,2.98,811.88,69.48,0.62,1016.73,293.53,100000000,0.3138500788,0.869974222
1090.81,24093710.72,2.98,811.88,69.48,1.04,1004.26,287.7,100000000,0.446855472,0.9603013048
1090.81,24093710.72,2.98,811.88,69.48,0.76,1019.99,270.3,100000000,-1000,-1000
1090.81,24093710.72,2.98,811.88,69.48,0.53,1007.7,298.26,100000000,0.1513738277,0.7502621058
1090.81,24093710.72,2.98,811.88,69.48,0.89,1015.09,277.37,100000000,0.4048054276,0.935294682
1090.81,24093710.72,2.98,811.88,69.48,0.95,1009.58,314.63,100000000,0.4205597109,0.9627722405
1090.81,24093710.72,2.98,811.88,69.48,0.69,1012.08,264.57,100000000,-1000,-1000
1090.81,24093710.72,2.98,811.88,69.48,0.83,1002.34,305.26,100000000,-1000,-1000
1086.01,24295670.27,2.8,834.39,94.23,0.64,982.18,305.88,100000000,0.3180481515,0.8910719242
1086.01,24295670.27,2.8,834.39,94.23,0.78,979.13,267.79,100000000,0.3912240342,0.9462810779
1086.01,24295670.27,2.8,834.39,94.23,0.77,990.82,288.4,100000000,0.3969534313,0.9454964389
1086.01,24295670.27,2.8,834.39,94.23,0.9,979.97,304.07,100000000,0.413503758,0.9577025613
1086.01,24295670.27,2.8,834.39,94.23,0.55,988.01,292.29,100000000,0.2629710037,0.8426561911
1086.01,24295670.27,2.8,834.39,94.23,1.01,984.98,276.72,100000000,0.4464818234,0.9820530226
1086.01,24295670.27,2.8,834.39,94.23,0.94,973.48,315.44,100000000,0.4167588892,0.9602936229
1086.01,24295670.27,2.8,834.39,94.23,0.59,975.06,276.92,100000000,0.2821203582,0.859157925
1037.76,24474225.74,2.84,841.67,28.17,0.53,993.77,301.38,100000000,0.3542138744,0.9093421147
1037.76,24474225.74,2.84,841.67,28.17,0.87,1007.65,309.38,100000000,0.4632350929,0.9746495715
1037.76,24474225.74,2.84,841.67,28.17,0.7,995.42,278.86,100000000,0.4349297867,0.9593276846
1037.76,24474225.74,2.84,841.67,28.17,0.76,1002.86,315.67,100000000,0.4468077047,0.9811076524
1037.76,24474225.74,2.84,841.67,28.17,0.83,1006.78,288.95,100000000,0.4662655813,0.9738685184
1037.76,24474225.74,2.84,841.67,28.17,0.93,999.37,263.63,100000000,0.4746261652,0.9749210679
1037.76,24474225.74,2.84,841.67,28.17,1.02,1001.6,296.24,100000000,0.4814694714,0.981856635
1037.76,24474225.74,2.84,841.67,28.17,0.6,990.21,270.4,100000000,0.3965862244,0.9309894819
1094.57,24878754.9,2.75,835.66,77.91,0.91,1009.8,273.63,100000000,0.459881447,0.9756690739
1094.57,24878754.9,2.75,835.66,77.91,0.51,1004.32,286.08,100000000,0.2388639897,0.8106289068
1094.57,24878754.9,2.75,835.66,77.91,0.81,1012.4,295.95,100000000,0.4708252148,0.9752928858
