T_in_ref_blk_K,p_high_Pa,PR,T_cold_set_K,delta,load,T_HTF_in_K,T_amb_input_K
1129.56,24465743.27,3.54,257.77,195.32,0.91,1121.28,306.15
1129.56,24465743.27,3.54,257.77,195.32,0.76,1127.98,296.63
1129.56,24465743.27,3.54,257.77,195.32,0.62,1116.88,285.6
1129.56,24465743.27,3.54,257.77,195.32,0.52,1113.13,310.36
1129.56,24465743.27,3.54,257.77,195.32,1.04,1123.28,271.43
1129.56,24465743.27,3.54,257.77,195.32,0.83,1111.22,278.56
1332.75,24450094.03,3.27,285.07,193.63,0.97,1319.44,312.49
1332.75,24450094.03,3.27,285.07,193.63,0.7,1315.23,294.99
1332.75,24450094.03,3.27,285.07,193.63,0.82,1328.76,280.73
1332.75,24450094.03,3.27,285.07,193.63,0.64,1324.28,300.48
1332.75,24450094.03,3.27,285.07,193.63,0.91,1317.3,283.91
1332.75,24450094.03,3.27,285.07,193.63,0.56,1329.82,263.34
1207.33,24628579.85,3.81,254.64,94.66,0.99,1191.85,279.71
1207.33,24628579.85,3.81,254.64,94.66,0.65,1206.65,286.09
1207.33,24628579.85,3.81,254.64,94.66,0.81,1202.8,303.78
1207.33,24628579.85,3.81,254.64,94.66,0.69,1190.19,271.67
1207.33,24628579.85,3.81,254.64,94.66,0.88,1194.17,316.38
1207.33,24628579.85,3.81,254.64,94.66,0.5,1200.49,299.69
1324.73,24526013.24,3.65,321.29,99.89,0.99,1307.73,295.16
1324.73,24526013.24,3.65,321.29,99.89,0.62,1313.72,289.09
1324.73,24526013.24,3.65,321.29,99.89,0.9,1317.56,304.09
1324.73,24526013.24,3.65,321.29,99.89,0.7,1320.6,272.13
1324.73,24526013.24,3.65,321.29,99.89,0.56,1322.64,309.24
1324.73,24526013.24,3.65,321.29,99.89,0.8,1309.38,281.04
1234.87,24013638.64,3.5,273.55,163.69,0.91,1230.17,274.55
1234.87,24013638.64,3.5,273.55,163.69,0.83,1223.18,309.43
1234.87,24013638.64,3.5,273.55,163.69,0.66,1233.87,269.82
1234.87,24013638.64,3.5,273.55,163.69,0.57,1220.01,303.17
1234.87,24013638.64,3.5,273.55,163.69,0.97,1226.27,295.53
1234.87,24013638.64,3.5,273.55,163.69,0.7,1215.97,285.83
1085.54,24287529.63,3.36,303.35,139.59,1.02,1084.81,276.48
1085.54,24287529.63,3.36,303.35,139.59,0.74,1076.79,283.33
1085.54,24287529.63,3.36,303.35,139.59,0.83,1066.78,300.82
1085.54,24287529.63,3.36,303.35,139.59,0.64,1070.3,312.15
1085.54,24287529.63,3.36,303.35,139.59,0.88,1072.22,270.23
1085.54,24287529.63,3.36,303.35,139.59,0.53,1081.55,298.39
1073.24,24076937.23,3.05,317.09,239.55,1.04,1056.09,263.18
1073.24,24076937.23,3.05,317.09,239.55,0.85,1068.32,280.25
1073.24,24076937.23,3.05,317.09,239.55,0.91,1058.52,317.0
1073.24,24076937.23,3.05,317.09,239.55,0.68,1072.02,287.32
1073.24,24076937.23,3.05,317.09,239.55,0.76,1064.12,295.39
1073.24,24076937.23,3.05,317.09,239.55,0.53,1060.06,302.16
1469.35,24679999.96,3.08,313.31,21.82,0.9,1458.72,273.76
1469.35,24679999.96,3.08,313.31,21.82,0.83,1467.8,312.87
1469.35,24679999.96,3.08,313.31,21.82,1.04,1465.18,285.86
1469.35,24679999.96,3.08,313.31,21.82,0.77,1455.05,298.96
1469.35,24679999.96,3.08,313.31,21.82,0.53,1451.21,300.62
1469.35,24679999.96,3.08,313.31,21.82,0.62,1462.57,272.23
1336.87,24834865.1,3.19,284.31,115.71,0.76,1317.99,285.38
1336.87,24834865.1,3.19,284.31,115.71,0.66,1322.48,317.25
1336.87,24834865.1,3.19,284.31,115.71,0.56,1333.19,297.45
1336.87,24834865.1,3.19,284.31,115.71,0.87,1335.82,277.25
1336.87,24834865.1,3.19,284.31,115.71,0.83,1327.22,265.51
1336.87,24834865.1,3.19,284.31,115.71,1.0,1323.62,300.71
1387.36,24959022.4,3.12,279.15,144.24,0.7,1370.55,310.16
1387.36,24959022.4,3.12,279.15,144.24,1.05,1380.4,278.34
1387.36,24959022.4,3.12,279.15,144.24,0.65,1386.37,305.71
1387.36,24959022.4,3.12,279.15,144.24,0.86,1376.2,268.9
1387.36,24959022.4,3.12,279.15,144.24,0.59,1383.75,286.01
1387.36,24959022.4,3.12,279.15,144.24,0.93,1373.2,295.92
1199.74,24499341.26,3.45,310.95,46.09,1.03,1198.18,273.66
1199.74,24499341.26,3.45,310.95,46.09,0.62,1195.05,308.09
1199.74,24499341.26,3.45,310.95,46.09,0.87,1181.06,265.91
1199.74,24499341.26,3.45,310.95,46.09,0.83,1186.62,293.57
1199.74,24499341.26,3.45,310.95,46.09,0.51,1183.95,314.29
1199.74,24499341.26,3.45,310.95,46.09,0.69,1190.72,285.72
1392.1,24653899.98,2.95,266.0,233.35,1.03,1387.24,300.27
1392.1,24653899.98,2.95,266.0,233.35,0.56,1389.62,313.69
1392.1,24653899.98,2.95,266.0,233.35,0.68,1384.83,285.4
1392.1,24653899.98,2.95,266.0,233.35,0.9,1379.02,299.03
1392.1,24653899.98,2.95,266.0,233.35,0.6,1378.46,273.95
1392.1,24653899.98,2.95,266.0,233.35,0.86,1374.23,270.52
1255.71,24732540.01,3.62,280.53,99.33,1.04,1238.13,301.3
1255.71,24732540.01,3.62,280.53,99.33,0.75,1246.81,266.93
1255.71,24732540.01,3.62,280.53,99.33,0.82,1245.29,310.73
1255.71,24732540.01,3.62,280.53,99.33,0.51,1241.89,283.56
1255.71,24732540.01,3.62,280.53,99.33,0.67,1249.97,298.36
1255.71,24732540.01,3.62,280.53,99.33,0.95,1252.62,278.03
1038.54,24826915.39,3.31,297.46,39.38,0.73,1030.48,300.61
1038.54,24826915.39,3.31,297.46,39.38,0.62,1019.8,282.79
1038.54,24826915.39,3.31,297.46,39.38,1.04,1033.24,293.27
1038.54,24826915.39,3.31,297.46,39.38,0.95,1027.09,264.81
1038.54,24826915.39,3.31,297.46,39.38,0.8,1037.08,277.19
1038.54,24826915.39,3.31,297.46,39.38,0.59,1022.1,316.56
1275.49,24587655.38,3.55,307.46,136.02,0.76,1259.15,280.39
1275.49,24587655.38,3.55,307.46,136.02,0.83,1267.87,305.93
1275.49,24587655.38,3.55,307.46,136.02,0.62,1273.88,291.82
1275.49,24587655.38,3.55,307.46,136.02,0.9,1270.63,264.22
1275.49,24587655.38,3.55,307.46,136.02,0.99,1264.58,285.75
1275.49,24587655.38,3.55,307.46,136.02,0.54,1257.89,310.08
1289.48,24371425.74,3.2,303.28,214.55,1.01,1282.03,274.51
1289.48,24371425.74,3.2,303.28,214.55,0.53,1278.65,306.55
1289.48,24371425.74,3.2,303.28,214.55,0.72,1273.46,311.2
1289.48,24371425.74,3.2,303.28,214.55,0.81,1271.33,267.37
1289.48,24371425.74,3.2,303.28,214.55,0.9,1285.27,297.76
1289.48,24371425.74,3.2,303.28,214.55,0.66,1288.45,288.82
1114.25,24816069.09,3.36,271.99,192.3,0.63,1100.34,312.09
1114.25,24816069.09,3.36,271.99,192.3,0.52,1106.47,273.4
1114.25,24816069.09,3.36,271.99,192.3,0.85,1102.72,264.04
1114.25,24816069.09,3.36,271.99,192.3,0.72,1112.45,307.4
1114.25,24816069.09,3.36,271.99,192.3,1.01,1109.46,286.39
1114.25,24816069.09,3.36,271.99,192.3,0.94,1094.7,296.0
1365.46,24856044.68,3.67,265.27,210.06,0.85,1349.63,281.1
1365.46,24856044.68,3.67,265.27,210.06,0.97,1362.45,291.25
1365.46,24856044.68,3.67,265.27,210.06,0.51,1355.41,286.97
1365.46,24856044.68,3.67,265.27,210.06,0.63,1348.49,307.23
1365.46,24856044.68,3.67,265.27,210.06,0.73,1360.47,263.78
1365.46,24856044.68,3.67,265.27,210.06,0.94,1355.91,313.92
1383.75,24948395.54,2.88,259.82,25.99,0.78,1383.53,293.7
1383.75,24948395.54,2.88,259.82,25.99,0.54,1371.84,317.35
1383.75,24948395.54,2.88,259.82,25.99,0.99,1378.99,289.8
1383.75,24948395.54,2.88,259.82,25.99,0.71,1368.41,276.21
1383.75,24948395.54,2.88,259.82,25.99,0.59,1376.81,264.25
1383.75,24948395.54,2.88,259.82,25.99,0.87,1365.66,299.86
1232.41,24308952.45,3.86,261.77,24.25,0.79,1217.0,288.47
1232.41,24308952.45,3.86,261.77,24.25,1.01,1227.54,279.89
1232.41,24308952.45,3.86,261.77,24.25,0.89,1225.29,298.7
1232.41,24308952.45,3.86,261.77,24.25,0.62,1212.66,303.72
1232.41,24308952.45,3.86,261.77,24.25,0.69,1220.26,315.45
1232.41,24308952.45,3.86,261.77,24.25,0.51,1230.31,268.36
1348.22,24756506.07,3.24,296.54,40.57,0.99,1336.45,280.59
1348.22,24756506.07,3.24,296.54,40.57,0.53,1338.41,310.21
1348.22,24756506.07,3.24,296.54,40.57,0.94,1348.08,307.15
1348.22,24756506.07,3.24,296.54,40.57,0.74,1333.45,297.33
1348.22,24756506.07,3.24,296.54,40.57,0.67,1344.15,285.06
1348.22,24756506.07,3.24,296.54,40.57,0.81,1329.63,264.97
1181.38,24802830.42,3.78,341.47,41.75,1.02,1168.84,272.12
1181.38,24802830.42,3.78,341.47,41.75,0.93,1164.97,292.59
1181.38,24802830.42,3.78,341.47,41.75,0.83,1178.02,308.7
1181.38,24802830.42,3.78,341.47,41.75,0.64,1163.24,272.81
1181.38,24802830.42,3.78,341.47,41.75,0.77,1179.48,284.02
1181.38,24802830.42,3.78,341.47,41.75,0.53,1173.68,315.27
1043.07,24681949.4,3.84,277.03,190.64,1.02,1036.77,283.77
1043.07,24681949.4,3.84,277.03,190.64,0.54,1024.29,267.6
1043.07,24681949.4,3.84,277.03,190.64,0.62,1036.0,300.17
