P_net,T_in_ref_blk,p_high,PR,Pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_gross,eta_Q,UA_HTR,UA_LTR,UA_PHX,UA_cooler,W_turb_des,W_comp_des,W_recomp_des,Q_HX_des,C_PB,eta_cycle_des,
20000000.0,1123.52,22339370.33,2.8,18.6,293.67,0.57,1119.45,284.26,0.31514803855701284,0.9187160973531924,3463500.3318201993,1446242.6324036303,822177.2622143668,33825.31010842899,39629476.895390004,8233003.818189976,7875293.725267327,53159734.69263627,20416396.872183193,0.44246231641165196,
20000000.0,1123.52,22339370.33,2.8,18.6,293.67,0.54,1122.26,268.31,0.2929699757537587,0.90046378334643,3463500.3318201993,1446242.6324036303,822177.2622143668,33825.31010842899,39629476.895390004,8233003.818189976,7875293.725267327,53159734.69263627,20416396.872183193,0.44246231641165196,
20000000.0,1123.52,22339370.33,2.8,18.6,293.67,0.9,1114.65,303.86,0.4190833312401903,0.9868281676091836,3463500.3318201993,1446242.6324036303,822177.2622143668,33825.31010842899,39629476.895390004,8233003.818189976,7875293.725267327,53159734.69263627,20416396.872183193,0.44246231641165196,
20000000.0,1123.52,22339370.33,2.8,18.6,293.67,1.05,1116.49,273.69,0.44456370175527027,1.0022343167495884,3463500.3318201993,1446242.6324036303,822177.2622143668,33825.31010842899,39629476.895390004,8233003.818189976,7875293.725267327,53159734.69263627,20416396.872183193,0.44246231641165196,
20000000.0,1123.52,22339370.33,2.8,18.6,293.67,0.66,1107.16,277.61,0.35940546274813895,0.947853511837791,3463500.3318201993,1446242.6324036303,822177.2622143668,33825.31010842899,39629476.895390004,8233003.818189976,7875293.725267327,53159734.69263627,20416396.872183193,0.44246231641165196,
20000000.0,1123.52,22339370.33,2.8,18.6,293.67,0.59,1110.39,300.3,0.3132467003037988,0.9250236347729769,3463500.3318201993,1446242.6324036303,822177.2622143668,33825.31010842899,39629476.895390004,8233003.818189976,7875293.725267327,53159734.69263627,20416396.872183193,0.44246231641165196,
20000000.0,1123.52,22339370.33,2.8,18.6,293.67,0.83,1107.54,297.78,0.4063703468099027,0.9894339910524476,3463500.3318201993,1446242.6324036303,822177.2622143668,33825.31010842899,39629476.895390004,8233003.818189976,7875293.725267327,53159734.69263627,20416396.872183193,0.44246231641165196,
20000000.0,1123.52,22339370.33,2.8,18.6,293.67,0.86,1109.37,308.29,0.411319852565861,0.985727182514837,3463500.3318201993,1446242.6324036303,822177.2622143668,33825.31010842899,39629476.895390004,8233003.818189976,7875293.725267327,53159734.69263627,20416396.872183193,0.44246231641165196,
20000000.0,1123.52,22339370.33,2.8,18.6,293.67,0.71,1105.02,313.74,0.3707373515637201,0.9594077943094202,3463500.3318201993,1446242.6324036303,822177.2622143668,33825.31010842899,39629476.895390004,8233003.818189976,7875293.725267327,53159734.69263627,20416396.872183193,0.44246231641165196,
20000000.0,1123.52,22339370.33,2.8,18.6,293.67,0.8,1119.73,291.9,0.4112636771139914,0.9893212330159581,3463500.3318201993,1446242.6324036303,822177.2622143668,33825.31010842899,39629476.895390004,8233003.818189976,7875293.725267327,53159734.69263627,20416396.872183193,0.44246231641165196,
20000000.0,1123.52,22339370.33,2.8,18.6,293.67,0.79,1106.44,276.51,0.4055824571850931,0.9896797479546346,3463500.3318201993,1446242.6324036303,822177.2622143668,33825.31010842899,39629476.895390004,8233003.818189976,7875293.725267327,53159734.69263627,20416396.872183193,0.44246231641165196,
20000000.0,1123.52,22339370.33,2.8,18.6,293.67,0.94,1111.93,310.71,0.42302279674313914,0.988581265422336,3463500.3318201993,1446242.6324036303,822177.2622143668,33825.31010842899,39629476.895390004,8233003.818189976,7875293.725267327,53159734.69263627,20416396.872183193,0.44246231641165196,
20000000.0,1123.52,22339370.33,2.8,18.6,293.67,0.62,1117.22,287.93,0.34647278088873545,0.9472300991813146,3463500.3318201993,1446242.6324036303,822177.2622143668,33825.31010842899,39629476.895390004,8233003.818189976,7875293.725267327,53159734.69263627,20416396.872183193,0.44246231641165196,
20000000.0,1123.52,22339370.33,2.8,18.6,293.67,0.73,1123.36,281.43,0.3984351430882127,0.9801511983172813,3463500.3318201993,1446242.6324036303,822177.2622143668,33825.31010842899,39629476.895390004,8233003.818189976,7875293.725267327,53159734.69263627,20416396.872183193,0.44246231641165196,
20000000.0,1123.52,22339370.33,2.8,18.6,293.67,0.95,1117.92,264.95,0.43416296996187626,0.9905687822265847,3463500.3318201993,1446242.6324036303,822177.2622143668,33825.31010842899,39629476.895390004,8233003.818189976,7875293.725267327,53159734.69263627,20416396.872183193,0.44246231641165196,
20000000.0,1123.52,22339370.33,2.8,18.6,293.67,0.5,1111.34,268.74,0.23704066124601442,0.8640410781668869,3463500.3318201993,1446242.6324036303,822177.2622143668,33825.31010842899,39629476.895390004,8233003.818189976,7875293.725267327,53159734.69263627,20416396.872183193,0.44246231641165196,
20000000.0,1123.52,22339370.33,2.8,18.6,293.67,1.0,1113.99,304.89,0.43060864775047064,0.9947684945552784,3463500.3318201993,1446242.6324036303,822177.2622143668,33825.31010842899,39629476.895390004,8233003.818189976,7875293.725267327,53159734.69263627,20416396.872183193,0.44246231641165196,
20000000.0,1123.52,22339370.33,2.8,18.6,293.67,0.98,1104.28,317.22,0.424280531436647,0.989182726048298,3463500.3318201993,1446242.6324036303,822177.2622143668,33825.31010842899,39629476.895390004,8233003.818189976,7875293.725267327,53159734.69263627,20416396.872183193,0.44246231641165196,
20000000.0,1123.52,22339370.33,2.8,18.6,293.67,0.69,1112.64,294.76,0.3684421599666249,0.9574548454588938,3463500.3318201993,1446242.6324036303,822177.2622143668,33825.31010842899,39629476.895390004,8233003.818189976,7875293.725267327,53159734.69263627,20416396.872183193,0.44246231641165196,
20000000.0,1123.52,22339370.33,2.8,18.6,293.67,0.76,1120.99,285.86,0.40614445600310073,0.9908663580471808,3463500.3318201993,1446242.6324036303,822177.2622143668,33825.31010842899,39629476.895390004,8233003.818189976,7875293.725267327,53159734.69263627,20416396.872183193,0.44246231641165196,
20000000.0,1275.13,23263271.13,3.37,18.73,206.38,1.03,1264.85,303.13,0.51628977087251,0.9934172322106372,3309144.9178520343,841278.4057730814,1782402.2709996852,15531.529709526862,37320142.87233186,7095551.726804893,6703411.793594254,44520218.477272995,17408593.547972623,0.5283257844734067,
20000000.0,1275.13,23263271.13,3.37,18.73,206.38,0.99,1255.94,282.58,0.5197629624928716,0.9823287296603105,3309144.9178520343,841278.4057730814,1782402.2709996852,15531.529709526862,37320142.87233186,7095551.726804893,6703411.793594254,44520218.477272995,17408593.547972623,0.5283257844734067,
20000000.0,1275.13,23263271.13,3.37,18.73,206.38,0.78,1263.19,267.9,0.5068012854255332,0.9572196071240794,3309144.9178520343,841278.4057730814,1782402.2709996852,15531.529709526862,37320142.87233186,7095551.726804893,6703411.793594254,44520218.477272995,17408593.547972623,0.5283257844734067,
20000000.0,1275.13,23263271.13,3.37,18.73,206.38,0.87,1267.89,299.1,0.5088326767041549,0.9784866013220489,3309144.9178520343,841278.4057730814,1782402.2709996852,15531.529709526862,37320142.87233186,7095551.726804893,6703411.793594254,44520218.477272995,17408593.547972623,0.5283257844734067,
20000000.0,1275.13,23263271.13,3.37,18.73,206.38,0.65,1273.98,273.04,0.4922842560399118,0.9365157738341596,3309144.9178520343,841278.4057730814,1782402.2709996852,15531.529709526862,37320142.87233186,7095551.726804893,6703411.793594254,44520218.477272995,17408593.547972623,0.5283257844734067,
20000000.0,1275.13,23263271.13,3.37,18.73,206.38,0.85,1258.95,292.01,0.5085055107085641,0.966581003685307,3309144.9178520343,841278.4057730814,1782402.2709996852,15531.529709526862,37320142.87233186,7095551.726804893,6703411.793594254,44520218.477272995,17408593.547972623,0.5283257844734067,
20000000.0,1275.13,23263271.13,3.37,18.73,206.38,0.77,1260.11,294.89,0.49497677611235485,0.953881940443645,3309144.9178520343,841278.4057730814,1782402.2709996852,15531.529709526862,37320142.87233186,7095551.726804893,6703411.793594254,44520218.477272995,17408593.547972623,0.5283257844734067,
20000000.0,1275.13,23263271.13,3.37,18.73,206.38,0.63,1256.56,307.27,0.46997879314928537,0.9210451390877364,3309144.9178520343,841278.4057730814,1782402.2709996852,15531.529709526862,37320142.87233186,7095551.726804893,6703411.793594254,44520218.477272995,17408593.547972623,0.5283257844734067,
20000000.0,1275.13,23263271.13,3.37,18.73,206.38,0.52,1272.07,296.68,0.449054672693453,0.9083886709401947,3309144.9178520343,841278.4057730814,1782402.2709996852,15531.529709526862,37320142.87233186,7095551.726804893,6703411.793594254,44520218.477272995,17408593.547972623,0.5283257844734067,
