P_net,T_in_ref_blk,p_high,PR,delta,dTemp_particle_PHX,load,T_HTF_in,T_amb_input,pinch_PHX,eta_gross,eta_cycle,UA_HTR,UA_LTR,UA_HX,W_turb_des,W_comp_des,W_recomp_des,UA_cooler,Q_HX_des,delta_temp_particle_HX,C_PB
10000000,1456.9,24083786.79,3.26,73.16,297.5650331185,0.51,1434.01,316.32,14.93,0.4780489355,0.8057568763,0.4908902938,16808481.0769055,2628359.19315943,2419532.20777972,2436515.94427592,576111.375971529,467739.432116905,7122.0528461002,19329250.3687139,13008100.750368
10000000,1456.9,24083786.79,3.26,73.16,297.5650331185,0.9,1422.36,275.76,14.93,0.5861566948,0.9532759622,0.5861840172,16808481.0769055,2628359.19315943,2419532.20777972,2436515.94427592,576111.375971529,467739.432116905,7122.0528461002,19329250.3687139,13008100.750368
10000000,1456.9,24083786.79,3.26,73.16,297.5650331185,0.71,1438.41,289.61,14.93,0.5571997764,0.9046340244,0.5610613292,16808481.0769055,2628359.19315943,2419532.20777972,2436515.94427592,576111.375971529,467739.432116905,7122.0528461002,19329250.3687139,13008100.750368
10000000,1276.53,24698055.23,3.93,54.34,255.4128460907,0.51,1250.95,314.43,23.27,0.3563602996,0.9082654562,0.3658849165,20435653.4225423,4497178.7390462,4177885.00752978,2684565.64944672,688980.651355118,604024.079142326,7364.7200040176,23119033.9160152,14049770.9223116
10000000,1276.53,24698055.23,3.93,54.34,255.4128460907,0.76,1238.4,267.77,23.27,0.4603299368,0.9610411927,0.4603312792,20435653.4225423,4497178.7390462,4177885.00752978,2684565.64944672,688980.651355118,604024.079142326,7364.7200040176,23119033.9160152,14049770.9223116
10000000,1276.53,24698055.23,3.93,54.34,255.4128460907,0.96,1246.03,285.16,23.27,0.4907749462,0.9790319353,0.491393132,20435653.4225423,4497178.7390462,4177885.00752978,2684565.64944672,688980.651355118,604024.079142326,7364.7200040176,23119033.9160152,14049770.9223116
10000000,1070.74,24848502.32,2.83,32.71,186.5195768369,1.05,1035.15,297.3,20.97,0.4955052916,0.9777046215,0.5045474946,17159376.5743952,2718597.04127089,2680189.85715795,2287641.35049767,1348961.13708105,845342.27025377,20662.0434723618,22622889.6871867,12307656.2884112
10000000,1070.74,24848502.32,2.83,32.71,186.5195768369,0.69,1048.34,271.31,20.97,0.4754728437,0.9534290266,0.4754776804,17159376.5743952,2718597.04127089,2680189.85715795,2287641.35049767,1348961.13708105,845342.27025377,20662.0434723618,22622889.6871867,12307656.2884112
10000000,1070.74,24848502.32,2.83,32.71,186.5195768369,0.63,1041.43,308.64,20.97,0.4517488276,0.9569502488,0.4609871381,17159376.5743952,2718597.04127089,2680189.85715795,2287641.35049767,1348961.13708105,845342.27025377,20662.0434723618,22622889.6871867,12307656.2884112
10000000,1349.05,24495420.88,3.03,97.22,274.8397628171,0.97,1302.52,286.09,27.87,0.5498384057,0.959237435,0.5508246986,17011839.75267,2702111.14641638,2549138.93028724,2508983.74651687,796658.391418871,356197.524447171,10797.6114156428,20549952.1486879,13072604.4072393
