P_net,T_in_ref_blk,p_high,PR,Pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_gross,eta_Q,UA_HTR,UA_LTR,UA_PHX,UA_cooler,W_turb_des,W_comp_des,W_recomp_des,Q_HX_des,C_PB,eta_cycle_des,
10000000.0,1126.31,22862602.05,3.17,17.13,181.58,1.05,1117.46,293.71,0.46181002520391506,0.9992053973465034,1743320.3488852615,556243.5175231814,1189720.3406747049,10947.93488496534,20036011.918502763,4251522.855431392,4023899.3871050198,24957459.824903022,11801173.409472011,0.4712254275265392,
10000000.0,1126.31,22862602.05,3.17,17.13,181.58,0.65,1108.18,302.21,0.4287393919513327,0.9942770181746743,1743320.3488852615,556243.5175231814,1189720.3406747049,10947.93488496534,20036011.918502763,4251522.855431392,4023899.3871050198,24957459.824903022,11801173.409472011,0.4712254275265392,
10000000.0,1126.31,22862602.05,3.17,17.13,181.58,0.85,1120.61,311.34,0.4561915020045606,1.0002803028274936,1743320.3488852615,556243.5175231814,1189720.3406747049,10947.93488496534,20036011.918502763,4251522.855431392,4023899.3871050198,24957459.824903022,11801173.409472011,0.4712254275265392,
10000000.0,1126.31,22862602.05,3.17,17.13,181.58,0.93,1124.6,278.2,0.4684491102518656,0.9985747012460715,1743320.3488852615,556243.5175231814,1189720.3406747049,10947.93488496534,20036011.918502763,4251522.855431392,4023899.3871050198,24957459.824903022,11801173.409472011,0.4712254275265392,
10000000.0,1126.31,22862602.05,3.17,17.13,181.58,0.77,1114.15,266.48,0.4581810299434203,1.0082266355513456,1743320.3488852615,556243.5175231814,1189720.3406747049,10947.93488496534,20036011.918502763,4251522.855431392,4023899.3871050198,24957459.824903022,11801173.409472011,0.4712254275265392,
10000000.0,1126.31,22862602.05,3.17,17.13,181.58,0.56,1112.78,282.5,0.4130778770764186,0.971367598841119,1743320.3488852615,556243.5175231814,1189720.3406747049,10947.93488496534,20036011.918502763,4251522.855431392,4023899.3871050198,24957459.824903022,11801173.409472011,0.4712254275265392,
10000000.0,1161.21,23025606.33,3.96,16.74,143.2,0.79,1153.45,272.49,0.4334262720778891,0.9984611168815413,1445722.4685125,521175.68697413953,616384.009269012,8242.49247809767,22714250.583071694,5618571.2053481005,5335089.701757243,26650522.940843984,11921262.83976325,0.4412892648324862,
10000000.0,1161.21,23025606.33,3.96,16.74,143.2,0.72,1146.01,304.47,0.41980679663781245,0.9968150731249953,1445722.4685125,521175.68697413953,616384.009269012,8242.49247809767,22714250.583071694,5618571.2053481005,5335089.701757243,26650522.940843984,11921262.83976325,0.4412892648324862,
10000000.0,1161.21,23025606.33,3.96,16.74,143.2,1.04,1157.37,291.53,0.4358232306317075,0.9995108945968773,1445722.4685125,521175.68697413953,616384.009269012,8242.49247809767,22714250.583071694,5618571.2053481005,5335089.701757243,26650522.940843984,11921262.83976325,0.4412892648324862,
10000000.0,1161.21,23025606.33,3.96,16.74,143.2,0.88,1143.42,283.46,0.4325590892457977,0.998337981150708,1445722.4685125,521175.68697413953,616384.009269012,8242.49247809767,22714250.583071694,5618571.2053481005,5335089.701757243,26650522.940843984,11921262.83976325,0.4412892648324862,
10000000.0,1161.21,23025606.33,3.96,16.74,143.2,0.56,1148.12,264.56,0.416259007766318,1.008304152204927,1445722.4685125,521175.68697413953,616384.009269012,8242.49247809767,22714250.583071694,5618571.2053481005,5335089.701757243,26650522.940843984,11921262.83976325,0.4412892648324862,
10000000.0,1161.21,23025606.33,3.96,16.74,143.2,0.6,1158.56,315.84,0.4155976074110232,0.9981339789571546,1445722.4685125,521175.68697413953,616384.009269012,8242.49247809767,22714250.583071694,5618571.2053481005,5335089.701757243,26650522.940843984,11921262.83976325,0.4412892648324862,
10000000.0,1182.03,24807709.97,3.21,16.51,157.15,0.72,1165.38,263.6,0.48807919367702973,0.9866751483215016,1648743.2307677122,513758.6877573157,692585.8490618331,10476.07279663487,18749898.674850717,3537249.336131598,3452059.6627527666,23378889.7417448,10854522.093508758,0.5030431216315169,
10000000.0,1182.03,24807709.97,3.21,16.51,157.15,0.55,1177.69,293.99,0.4683554618206091,0.9910014461672189,1648743.2307677122,513758.6877573157,692585.8490618331,10476.07279663487,18749898.674850717,3537249.336131598,3452059.6627527666,23378889.7417448,10854522.093508758,0.5030431216315169,
10000000.0,1182.03,24807709.97,3.21,16.51,157.15,0.99,1174.18,302.8,0.49168399601849927,0.9956180671769268,1648743.2307677122,513758.6877573157,692585.8490618331,10476.07279663487,18749898.674850717,3537249.336131598,3452059.6627527666,23378889.7417448,10854522.093508758,0.5030431216315169,
10000000.0,1182.03,24807709.97,3.21,16.51,157.15,0.93,1164.52,280.21,0.49559178469817133,0.9908853704946691,1648743.2307677122,513758.6877573157,692585.8490618331,10476.07279663487,18749898.674850717,3537249.336131598,3452059.6627527666,23378889.7417448,10854522.093508758,0.5030431216315169,
10000000.0,1182.03,24807709.97,3.21,16.51,157.15,0.68,1169.39,286.83,0.4855127841136294,0.9860847960920132,1648743.2307677122,513758.6877573157,692585.8490618331,10476.07279663487,18749898.674850717,3537249.336131598,3452059.6627527666,23378889.7417448,10854522.093508758,0.5030431216315169,
10000000.0,1182.03,24807709.97,3.21,16.51,157.15,0.83,1178.96,316.03,0.4883823199960561,0.9914523234939332,1648743.2307677122,513758.6877573157,692585.8490618331,10476.07279663487,18749898.674850717,3537249.336131598,3452059.6627527666,23378889.7417448,10854522.093508758,0.5030431216315169,
10000000.0,1302.65,21233147.7,2.83,23.72,107.89,0.75,1295.9,311.35,0.5412693698719181,0.9767694811397059,1854012.1306119054,421415.83033874107,355506.9364561341,9280.398847108698,17101385.338714067,2768676.876506107,2572118.7862416054,20992972.5902536,9641126.184988212,0.560215549532344,
10000000.0,1302.65,21233147.7,2.83,23.72,107.89,0.96,1301.71,265.99,0.5592398664150364,0.9970928313340851,1854012.1306119054,421415.83033874107,355506.9364561341,9280.398847108698,17101385.338714067,2768676.876506107,2572118.7862416054,20992972.5902536,9641126.184988212,0.560215549532344,
10000000.0,1302.65,21233147.7,2.83,23.72,107.89,0.84,1298.15,288.3,0.5529056043466836,0.9864490800165849,1854012.1306119054,421415.83033874107,355506.9364561341,9280.398847108698,17101385.338714067,2768676.876506107,2572118.7862416054,20992972.5902536,9641126.184988212,0.560215549532344,
10000000.0,1302.65,21233147.7,2.83,23.72,107.89,0.59,1283.11,275.69,0.5365161900133726,0.9443450092406451,1854012.1306119054,421415.83033874107,355506.9364561341,9280.398847108698,17101385.338714067,2768676.876506107,2572118.7862416054,20992972.5902536,9641126.184988212,0.560215549532344,
10000000.0,1302.65,21233147.7,2.83,23.72,107.89,0.58,1290.04,304.43,0.5289098781150996,0.949627874857508,1854012.1306119054,421415.83033874107,355506.9364561341,9280.398847108698,17101385.338714067,2768676.876506107,2572118.7862416054,20992972.5902536,9641126.184988212,0.560215549532344,
10000000.0,1302.65,21233147.7,2.83,23.72,107.89,1.03,1288.71,299.81,0.5457349430658315,0.9875013245539481,1854012.1306119054,421415.83033874107,355506.9364561341,9280.398847108698,17101385.338714067,2768676.876506107,2572118.7862416054,20992972.5902536,9641126.184988212,0.560215549532344,
10000000.0,1331.0,20948869.49,3.48,27.23,229.77,0.59,1316.9,267.44,0.47210344987752034,0.878338560411668,1662424.2995310095,372718.8858545171,755449.8821948603,6474.868579822828,18778176.98052697,3657426.729818481,3360160.5747421375,21785129.503833346,11716638.39646345,0.5398448365384717,
10000000.0,1331.0,20948869.49,3.48,27.23,229.77,0.64,1313.21,304.09,0.47375213107599085,0.89521391920746,1662424.2995310095,372718.8858545171,755449.8821948603,6474.868579822828,18778176.98052697,3657426.729818481,3360160.5747421375,21785129.503833346,11716638.39646345,0.5398448365384717,
10000000.0,1331.0,20948869.49,3.48,27.23,229.77,0.71,1322.29,287.32,0.5029338509960785,0.9279537853365389,1662424.2995310095,372718.8858545171,755449.8821948603,6474.868579822828,18778176.98052697,3657426.729818481,3360160.5747421375,21785129.503833346,11716638.39646345,0.5398448365384717,
10000000.0,1331.0,20948869.49,3.48,27.23,229.77,0.84,1328.04,277.94,0.5265763726141856,0.9718490989636557,1662424.2995310095,372718.8858545171,755449.8821948603,6474.868579822828,18778176.98052697,3657426.729818481,3360160.5747421375,21785129.503833346,11716638.39646345,0.5398448365384717,
10000000.0,1331.0,20948869.49,3.48,27.23,229.77,0.89,1320.88,315.51,0.5188583914966711,0.975106514618541,1662424.2995310095,372718.8858545171,755449.8821948603,6474.868579822828,18778176.98052697,3657426.729818481,3360160.5747421375,21785129.503833346,11716638.39646345,0.5398448365384717,
10000000.0,1331.0,20948869.49,3.48,27.23,229.77,1.0,1326.69,294.08,0.5290264907345367,0.9958859003461683,1662424.2995310095,372718.8858545171,755449.8821948603,6474.868579822828,18778176.98052697,3657426.729818481,3360160.5747421375,21785129.503833346,11716638.39646345,0.5398448365384717,
10000000.0,1081.46,23156021.58,3.62,17.43,151.97,0.79,1072.38,267.99,0.4233355991199193,1.016080845277475,1452642.8184247208,588493.7452973223,776225.7370655731,10078.137594457816,22672363.056352757,5606781.420465556,5304991.959920848,27442188.00364842,12104923.005596492,0.4285587459135106,
10000000.0,1081.46,23156021.58,3.62,17.43,151.97,0.73,1077.56,316.54,0.4142846567445839,1.015372478993996,1452642.8184247208,588493.7452973223,776225.7370655731,10078.137594457816,22672363.056352757,5606781.420465556,5304991.959920848,27442188.00364842,12104923.005596492,0.4285587459135106,
10000000.0,1081.46,23156021.58,3.62,17.43,151.97,0.87,1067.86,305.82,0.41669419107951344,1.0111203891994387,1452642.8184247208,588493.7452973223,776225.7370655731,10078.137594457816,22672363.056352757,5606781.420465556,5304991.959920848,27442188.00364842,12104923.005596492,0.4285587459135106,
10000000.0,1081.46,23156021.58,3.62,17.43,151.97,1.03,1078.82,278.48,0.4284234772955695,1.0001982965845677,1452642.8184247208,588493.7452973223,776225.7370655731,10078.137594457816,22672363.056352757,5606781.420465556,5304991.959920848,27442188.00364842,12104923.005596492,0.4285587459135106,
10000000.0,1081.46,23156021.58,3.62,17.43,151.97,0.58,1070.31,298.03,0.3858436130126683,0.9821486363670024,1452642.8184247208,588493.7452973223,776225.7370655731,10078.137594457816,22672363.056352757,5606781.420465556,5304991.959920848,27442188.00364842,12104923.005596492,0.4285587459135106,
10000000.0,1081.46,23156021.58,3.62,17.43,151.97,0.66,1061.78,287.11,0.40167710217350233,0.9910469372474778,1452642.8184247208,588493.7452973223,776225.7370655731,10078.137594457816,22672363.056352757,5606781.420465556,5304991.959920848,27442188.00364842,12104923.005596492,0.4285587459135106,
10000000.0,1029.88,20747489.28,2.81,16.09,136.58,0.72,1011.35,270.19,0.4276123680646426,0.967460614680379,1844923.9290346112,645003.3087467026,900711.4745680282,14153.251727249217,20085470.767651886,4337718.286509172,3987162.8051763643,26035499.81295093,11446543.14780759,0.4517136125850842,
10000000.0,1029.88,20747489.28,2.81,16.09,136.58,0.61,1025.97,302.16,0.41407918031239543,0.9611142334106431,1844923.9290346112,645003.3087467026,900711.4745680282,14153.251727249217,20085470.767651886,4337718.286509172,3987162.8051763643,26035499.81295093,11446543.14780759,0.4517136125850842,
10000000.0,1029.88,20747489.28,2.81,16.09,136.58,0.92,1016.15,311.42,0.43504381018885224,0.9877418347465065,1844923.9290346112,645003.3087467026,900711.4745680282,14153.251727249217,20085470.767651886,4337718.286509172,3987162.8051763643,26035499.81295093,11446543.14780759,0.4517136125850842,
10000000.0,1029.88,20747489.28,2.81,16.09,136.58,0.52,1022.16,279.5,0.40359652404843455,0.9501990183185559,1844923.9290346112,645003.3087467026,900711.4745680282,14153.251727249217,20085470.767651886,4337718.286509172,3987162.8051763643,26035499.81295093,11446543.14780759,0.4517136125850842,
10000000.0,1029.88,20747489.28,2.81,16.09,136.58,0.86,1016.64,283.33,0.4401808606830374,0.9844315662448738,1844923.9290346112,645003.3087467026,900711.4745680282,14153.251727249217,20085470.767651886,4337718.286509172,3987162.8051763643,26035499.81295093,11446543.14780759,0.4517136125850842,
10000000.0,1029.88,20747489.28,2.81,16.09,136.58,0.97,1028.26,297.0,0.4437493304455794,1.002051844646919,1844923.9290346112,645003.3087467026,900711.4745680282,14153.251727249217,20085470.767651886,4337718.286509172,3987162.8051763643,26035499.81295093,11446543.14780759,0.4517136125850842,
10000000.0,1118.37,21601080.88,3.93,19.42,245.88,0.93,1108.51,303.06,0.3852858151086442,1.0239510778436507,1289299.2401146789,616271.478441922,766268.2432055504,9699.251399989946,25033131.119161386,6859945.194502295,6412596.24869274,29617106.447270717,14087865.27559875,0.39708773363476624,
10000000.0,1118.37,21601080.88,3.93,19.42,245.88,0.57,1118.23,286.24,0.3843640974728294,0.3247001534618991,1289299.2401146789,616271.478441922,766268.2432055504,9699.251399989946,25033131.119161386,6859945.194502295,6412596.24869274,29617106.447270717,14087865.27559875,0.39708773363476624,
10000000.0,1118.37,21601080.88,3.93,19.42,245.88,0.79,1107.38,268.35,0.3641417239126595,0.9968039472755839,1289299.2401146789,616271.478441922,766268.2432055504,9699.251399989946,25033131.119161386,6859945.194502295,6412596.24869274,29617106.447270717,14087865.27559875,0.39708773363476624,
10000000.0,1118.37,21601080.88,3.93,19.42,245.88,0.62,1103.32,311.67,0.2907254816508896,0.9797526344733062,1289299.2401146789,616271.478441922,766268.2432055504,9699.251399989946,25033131.119161386,6859945.194502295,6412596.24869274,29617106.447270717,14087865.27559875,0.39708773363476624,
10000000.0,1118.37,21601080.88,3.93,19.42,245.88,0.71,1112.43,292.73,0.3382840191285847,0.9873990929169144,1289299.2401146789,616271.478441922,766268.2432055504,9699.251399989946,25033131.119161386,6859945.194502295,6412596.24869274,29617106.447270717,14087865.27559875,0.39708773363476624,
10000000.0,1118.37,21601080.88,3.93,19.42,245.88,1.04,1099.57,276.46,0.3940939588529246,1.0079841173044308,1289299.2401146789,616271.478441922,766268.2432055504,9699.251399989946,25033131.119161386,6859945.194502295,6412596.24869274,29617106.447270717,14087865.27559875,0.39708773363476624,
10000000.0,1104.59,23545222.86,3.42,24.13,241.53,1.05,1089.45,298.37,0.42202044806220246,0.9945629252808569,1440717.2436625436,612530.2426692777,583723.2600326546,11172.319775819511,21956899.07896293,5230942.302980473,4965367.100016103,27163830.577870388,13060918.996532988,0.43295033968984387,
10000000.0,1104.59,23545222.86,3.42,24.13,241.53,0.59,1085.96,309.01,0.3230684707426976,0.9229676538295069,1440717.2436625436,612530.2426692777,583723.2600326546,11172.319775819511,21956899.07896293,5230942.302980473,4965367.100016103,27163830.577870388,13060918.996532988,0.43295033968984387,
10000000.0,1104.59,23545222.86,3.42,24.13,241.53,0.7,1097.8,264.78,0.3827186676518608,0.9538628385993311,1440717.2436625436,612530.2426692777,583723.2600326546,11172.319775819511,21956899.07896293,5230942.302980473,4965367.100016103,27163830.577870388,13060918.996532988,0.43295033968984387,
10000000.0,1104.59,23545222.86,3.42,24.13,241.53,0.89,1104.41,286.04,0.41987026246761705,0.9817731361196511,1440717.2436625436,612530.2426692777,583723.2600326546,11172.319775819511,21956899.07896293,5230942.302980473,4965367.100016103,27163830.577870388,13060918.996532988,0.43295033968984387,
10000000.0,1104.59,23545222.86,3.42,24.13,241.53,0.85,1092.04,276.14,0.4083390453470179,0.9689705589590962,1440717.2436625436,612530.2426692777,583723.2600326546,11172.319775819511,21956899.07896293,5230942.302980473,4965367.100016103,27163830.577870388,13060918.996532988,0.43295033968984387,
10000000.0,1104.59,23545222.86,3.42,24.13,241.53,0.67,1100.86,301.4,0.36928500585429386,0.9548774949557156,1440717.2436625436,612530.2426692777,583723.2600326546,11172.319775819511,21956899.07896293,5230942.302980473,4965367.100016103,27163830.577870388,13060918.996532988,0.43295033968984387,
10000000.0,1289.09,23046249.82,3.77,21.01,213.23,0.94,1271.84,314.88,0.49468074482400193,0.9796780956626528,1540220.6661615449,404227.2923237283,749019.8306233496,6669.924864924896,19706788.312386855,4091371.2370613543,3854827.3993591503,22882841.32875153,11736078.4510962,0.513947962449469,
10000000.0,1289.09,23046249.82,3.77,21.01,213.23,0.56,1283.22,264.57,0.45128201611256025,0.9111602296374154,1540220.6661615449,404227.2923237283,749019.8306233496,6669.924864924896,19706788.312386855,4091371.2370613543,3854827.3993591503,22882841.32875153,11736078.4510962,0.513947962449469,
10000000.0,1289.09,23046249.82,3.77,21.01,213.23,0.8,1281.26,281.31,0.4964752087175116,0.9672918413465501,1540220.6661615449,404227.2923237283,749019.8306233496,6669.924864924896,19706788.312386855,4091371.2370613543,3854827.3993591503,22882841.32875153,11736078.4510962,0.513947962449469,
