P_net,T_in_ref_blk,p_high,PR,Pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_gross,eta_Q,UA_HTR,UA_LTR,UA_PHX,UA_cooler,W_turb_des,W_comp_des,W_recomp_des,Q_HX_des,C_PB,eta_cycle_des
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.57,1119.45,284.26,0.3151480386,0.9187160974,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.54,1122.26,268.31,0.2929699758,0.9004637833,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.9,1114.65,303.86,0.4190833312,0.9868281676,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,1.05,1116.49,273.69,0.4445637018,1.0022343167,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.66,1107.16,277.61,0.3594054627,0.9478535118,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.59,1110.39,300.3,0.3132467003,0.9250236348,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.83,1107.54,297.78,0.4063703468,0.9894339911,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.86,1109.37,308.29,0.4113198526,0.9857271825,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.71,1105.02,313.74,0.3707373516,0.9594077943,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.8,1119.73,291.9,0.4112636771,0.989321233,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.79,1106.44,276.51,0.4055824572,0.989679748,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.94,1111.93,310.71,0.4230227967,0.9885812654,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.62,1117.22,287.93,0.3464727809,0.9472300992,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.73,1123.36,281.43,0.3984351431,0.9801511983,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.95,1117.92,264.95,0.43416297,0.9905687822,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.5,1111.34,268.74,0.2370406612,0.8640410782,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,1,1113.99,304.89,0.4306086478,0.9947684946,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.98,1104.28,317.22,0.4242805314,0.989182726,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.69,1112.64,294.76,0.36844216,0.9574548455,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.76,1120.99,285.86,0.406144456,0.990866358,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1275.13,23263271.13,3.37,18.73,206.38,1.03,1264.85,303.13,0.5162897709,0.9934172322,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.99,1255.94,282.58,0.5197629625,0.9823287297,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.78,1263.19,267.9,0.5068012854,0.9572196071,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.87,1267.89,299.1,0.5088326767,0.9784866013,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.65,1273.98,273.04,0.492284256,0.9365157738,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.85,1258.95,292.01,0.5085055107,0.9665810037,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.77,1260.11,294.89,0.4949767761,0.9538819404,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.63,1256.56,307.27,0.4699787931,0.9210451391,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.52,1272.07,296.68,0.4490546727,0.9083886709,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.96,1265.58,286.61,0.522197412,0.988140086,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.73,1270.91,263.5,0.5040241333,0.9533636945,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.59,1261.51,314.58,0.4636365593,0.9166871069,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.58,1274.6,279.79,0.476791065,0.9191112839,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.67,1262.61,288.73,0.4896075138,0.9343421682,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
20000000,1275.13,23263271.13,3.37,18.73,206.38,1,1269.28,276.31,0.5260812649,0.99495222,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.94,1266.2,310.03,0.5128364321,0.9865327125,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.54,1272.73,305.73,0.455540605,0.9114586203,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.71,1257.8,277.64,0.4953247627,0.9409556589,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.9,1260.16,271.26,0.5167295387,0.9758569717,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.81,1268.24,317.44,0.5033280363,0.9674255562,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
20000000,1259.88,24531639.98,2.99,27.07,247.23,0.79,1250.4,268.49,0.5033943429,0.9772750435,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245
20000000,1259.88,24531639.98,2.99,27.07,247.23,0.75,1242.09,307.18,0.486983812,0.9739558307,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245
20000000,1259.88,24531639.98,2.99,27.07,247.23,0.61,1246.61,301.19,0.4634882718,0.9687160322,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245
20000000,1259.88,24531639.98,2.99,27.07,247.23,0.88,1259.8,302.53,0.5055435575,0.9861778211,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245
20000000,1259.88,24531639.98,2.99,27.07,247.23,1,1252.71,273.08,0.5210136982,0.9962908105,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245
20000000,1259.88,24531639.98,2.99,27.07,247.23,0.96,1257.67,311.43,0.511190645,0.9949388053,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245
20000000,1259.88,24531639.98,2.99,27.07,247.23,0.56,1258.82,265.53,0.4608370671,0.9518742275,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245
20000000,1259.88,24531639.98,2.99,27.07,247.23,0.66,1254.36,277.53,0.4889959157,0.9833754289,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245
20000000,1259.88,24531639.98,2.99,27.07,247.23,0.89,1242.96,317.31,0.5007413023,0.9808767661,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245
20000000,1259.88,24531639.98,2.99,27.07,247.23,0.72,1245.22,269.36,0.4939590967,0.9768737948,3355345.06435854,1052067.83704926,915802.872567304,24082.5728417129,35229769.7348766,5878263.22830054,5830327.15464334,44950710.0615625,17678230.4404665,0.5232660245
