P_net,T_in_ref_blk,p_high,PR,delta,dTemp_particle_PHX,load,T_HTF_in,T_amb_input,pinch_PHX,eta_gross,eta_cycle,UA_HTR,UA_LTR,UA_HX,W_turb_des,W_comp_des,W_recomp_des,UA_cooler,Q_HX_des,delta_temp_particle_HX,C_PB,
10000000.0,1456.9,24083786.79,3.26,73.16,297.5650331185,0.51,1434.01,316.32,14.92999999946619,0.47804893551814215,0.8057568763267385,0.4908902938153196,16808481.076905508,2628359.193159433,2419532.20777972,2436515.9442759156,576111.3759715294,467739.4321224098,7122.052846100161,19329250.368713878,13008100.750375528,
10000000.0,1456.9,24083786.79,3.26,73.16,297.5650331185,0.9,1422.36,275.76,14.92999999946619,0.5861566947850475,0.9532759622238861,0.5861840171528441,16808481.076905508,2628359.193159433,2419532.20777972,2436515.9442759156,576111.3759715294,467739.4321224098,7122.052846100161,19329250.368713878,13008100.750375528,
10000000.0,1456.9,24083786.79,3.26,73.16,297.5650331185,0.71,1438.41,289.61,14.92999999946619,0.5571997763950736,0.9046340244331877,0.5610613292082104,16808481.076905508,2628359.193159433,2419532.20777972,2436515.9442759156,576111.3759715294,467739.4321224098,7122.052846100161,19329250.368713878,13008100.750375528,
10000000.0,1276.53,24698055.23,3.93,54.34,255.4128460907,0.51,1250.95,314.43,23.269999999661195,0.35636029958637716,0.908265456156712,0.3658849164867292,20435653.422542334,4497178.739046199,4177885.007529783,2684565.6494467217,688980.6513551178,604024.0791459784,7364.720004017561,23119033.916015223,14049770.922316201,
10000000.0,1276.53,24698055.23,3.93,54.34,255.4128460907,0.76,1238.4,267.77,23.269999999661195,0.4603299367774397,0.9610411927275213,0.46033127922316125,20435653.422542334,4497178.739046199,4177885.007529783,2684565.6494467217,688980.6513551178,604024.0791459784,7364.720004017561,23119033.916015223,14049770.922316201,
10000000.0,1276.53,24698055.23,3.93,54.34,255.4128460907,0.96,1246.03,285.16,23.269999999661195,0.4907749461618332,0.9790319353057502,0.491393132002872,20435653.422542334,4497178.739046199,4177885.007529783,2684565.6494467217,688980.6513551178,604024.0791459784,7364.720004017561,23119033.916015223,14049770.922316201,
10000000.0,1070.74,24848502.32,2.83,32.71,186.5195768369,1.05,1035.15,297.3,20.969999999876904,0.4955052916497657,0.9777046214920733,0.5045474945862973,17159376.57439519,2718597.0412708884,2680189.857157953,2287641.350497666,1348961.1370810466,845342.2702560076,20662.04347236179,22622889.687186744,12307656.288412806,
10000000.0,1070.74,24848502.32,2.83,32.71,186.5195768369,0.69,1048.34,271.31,20.969999999876904,0.47547284370288173,0.953429026602765,0.4754776804259824,17159376.57439519,2718597.0412708884,2680189.857157953,2287641.350497666,1348961.1370810466,845342.2702560076,20662.04347236179,22622889.687186744,12307656.288412806,
10000000.0,1070.74,24848502.32,2.83,32.71,186.5195768369,0.63,1041.43,308.64,20.969999999876904,0.45174882757461204,0.9569502488255972,0.46098713814547576,17159376.57439519,2718597.0412708884,2680189.857157953,2287641.350497666,1348961.1370810466,845342.2702560076,20662.04347236179,22622889.687186744,12307656.288412806,
10000000.0,1349.05,24495420.88,3.03,97.22,274.8397628171,0.97,1302.52,286.09,27.870000000136997,0.5498384056763731,0.9592374350252161,0.5508246986094301,17011839.75266997,2702111.146416378,2549138.93028724,2508983.7465168717,796658.3914188709,356197.5244464925,10797.611415642788,20549952.148687907,13072604.40723738,
10000000.0,1349.05,24495420.88,3.03,97.22,274.8397628171,0.85,1317.15,264.14,27.870000000136997,0.5442157909957416,0.9502927489180267,0.5442162139915282,17011839.75266997,2702111.146416378,2549138.93028724,2508983.7465168717,796658.3914188709,356197.5244464925,10797.611415642788,20549952.148687907,13072604.40723738,
10000000.0,1349.05,24495420.88,3.03,97.22,274.8397628171,0.56,1308.38,312.55,27.870000000136997,0.46685681804793117,0.9045648239731996,0.4776160057827915,17011839.75266997,2702111.146416378,2549138.93028724,2508983.7465168717,796658.3914188709,356197.5244464925,10797.611415642788,20549952.148687907,13072604.40723738,
10000000.0,1158.82,24379151.02,3.51,106.06,282.955669719,0.56,1130.74,264.04,10.339999999987754,0.2914766459686757,0.9018921682143246,0.2914769952130747,21379621.684341677,5001420.401430418,4617611.606944907,2693333.2878595544,932512.8098049951,591420.0425436317,10833.921721634686,25313908.77318067,15011712.046898602,
10000000.0,1158.82,24379151.02,3.51,106.06,282.955669719,0.99,1147.61,293.13,10.339999999987754,0.45268718005777225,1.0080751268895776,0.4605246860496831,21379621.684341677,5001420.401430418,4617611.606944907,2693333.2878595544,932512.8098049951,591420.0425436317,10833.921721634686,25313908.77318067,15011712.046898602,
