P_net,T_in_ref_blk,p_high,PR,pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_Q,eta_gross,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1196.26,253.0,1.007749282337975,0.41595625095111083,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1196.26,267.03,1.007749282337975,0.41595607500238047,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1196.26,281.06,1.007749282337975,0.415930925242002,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1196.26,295.09,1.007749282337975,0.4123360686844935,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1196.26,309.12,1.007749282337975,0.40823837069829116,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1196.26,323.15,1.007749282337975,0.40823837069829116,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1191.26,253.0,1.0078606298944948,0.41343928470187136,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1191.26,267.03,1.0078606298944948,0.4134391087725796,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1191.26,281.06,1.0078606298944948,0.41341396179072454,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1191.26,295.09,1.0078606298944948,0.4098195023898088,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1191.26,309.12,1.0078606298944948,0.4057222571136783,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1191.26,323.15,1.0078606298944948,0.4057222571136783,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1186.26,253.0,1.0033956962774102,0.41011647985622973,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1186.26,267.03,1.0033956962774102,0.4101163031440837,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1186.26,281.06,1.0033956962774102,0.4100910442626012,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1186.26,295.09,1.0033956962774102,0.4064805901522463,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1186.26,309.12,1.0033956962774102,0.40236511285833987,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1186.26,323.15,1.0033956962774102,0.40236511285833987,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1181.26,253.0,0.9989160607848961,0.4067208061833948,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1181.26,267.03,0.9989160607848961,0.40672062867878384,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1181.26,281.06,0.9989160607848961,0.4066952565239378,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1181.26,295.09,0.9989160607848961,0.40306861134507205,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1181.26,309.12,0.9989160607848961,0.398934678207999,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1181.26,323.15,0.9989160607848961,0.398934678207999,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1176.26,253.0,0.9947259712084195,0.4031800891653374,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1176.26,267.03,0.9947259712084195,0.40317991091302274,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1176.26,281.06,0.9947259712084195,0.40315443188291195,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1176.26,295.09,0.9947259712084195,0.39951251016698835,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1176.26,309.12,0.9947259712084195,0.3953611636410536,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1176.26,323.15,0.9947259712084195,0.3953611636410536,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1171.26,253.0,0.9904235198327573,0.39959048417034826,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1171.26,267.03,0.9904235198327573,0.39959030514369626,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1171.26,281.06,0.9904235198327573,0.39956471543135114,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1171.26,295.09,0.9904235198327573,0.3959069730177331,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1171.26,309.12,0.9904235198327573,0.3917375928261859,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1171.26,323.15,0.9904235198327573,0.3917375928261859,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1196.26,253.0,0.9848822469242989,0.4329596319163784,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1196.26,267.03,0.9848822469242989,0.4329594518824635,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1196.26,281.06,0.9848822469242989,0.43293371819394216,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1196.26,295.09,0.9848822469242989,0.42925539611305336,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1196.26,309.12,0.9848822469242989,0.4250625576110607,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1196.26,323.15,0.9848822469242989,0.4250625576110607,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1191.26,253.0,0.9842360200810152,0.43088298496742083,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1191.26,267.03,0.9842360200810152,0.43088280481529967,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1191.26,281.06,0.9842360200810152,0.4308570542306276,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1191.26,295.09,0.9842360200810152,0.42717631704765097,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1191.26,309.12,0.9842360200810152,0.42298072562386496,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1191.26,323.15,0.9842360200810152,0.42298072562386496,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1186.26,253.0,0.9860604746311932,0.42919335588408525,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1186.26,267.03,0.9860604746311932,0.4291931760652897,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1186.26,281.06,0.9860604746311932,0.42916747312553666,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1186.26,295.09,0.9860604746311932,0.42549354621218766,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1186.26,309.12,0.9860604746311932,0.42130571766508207,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1186.26,323.15,0.9860604746311932,0.42130571766508207,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1181.26,253.0,0.9884137565061926,0.4276181476737622,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1181.26,267.03,0.9884137565061926,0.4276179682830914,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1181.26,281.06,0.9884137565061926,0.427592326538624,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1181.26,295.09,0.9884137565061926,0.4239271467572918,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1181.26,309.12,0.9884137565061926,0.41974928887373725,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1181.26,323.15,0.9884137565061926,0.41974928887373725,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1176.26,253.0,0.9907473216958953,0.4260238209404468,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1176.26,267.03,0.9907473216958953,0.42602364197230536,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1176.26,281.06,0.9907473216958953,0.4259980606233404,
50000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.61,1176.26,295.09,0.9907473216958953,0.42234151365459766,
