P_net,T_in_ref_blk,p_high,PR,pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_Q,eta_gross,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1196.26,253.0,1.0077492823379741,0.41595624599264186,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1196.26,267.03,1.0077492823379741,0.41595536624899015,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1196.26,281.06,1.0077492823379741,0.41582961744709773,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1196.26,295.09,1.0077492823379741,0.40823837069828933,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1196.26,309.12,1.0077492823379741,0.40823837069828933,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1196.26,323.15,1.0077492823379741,0.40823837069828933,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1191.26,253.0,1.0078606298944952,0.41343927974395106,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1191.26,267.03,1.0078606298944952,0.4134384000974927,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1191.26,281.06,1.0078606298944952,0.41331266518821735,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1191.26,295.09,1.0078606298944952,0.4057222571136774,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1191.26,309.12,1.0078606298944952,0.4057222571136774,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1191.26,323.15,1.0078606298944952,0.4057222571136774,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1186.26,253.0,1.0033956962774113,0.4101164748762481,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1186.26,267.03,1.0033956962774113,0.41011559131551834,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1186.26,281.06,1.0033956962774113,0.4099892969081055,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1186.26,295.09,1.0033956962774113,0.4023651128583394,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1186.26,309.12,1.0033956962774113,0.4023651128583394,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1186.26,323.15,1.0033956962774113,0.4023651128583394,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1181.26,253.0,0.998916060784896,0.4067208011810808,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1181.26,267.03,0.998916060784896,0.4067199136580261,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1181.26,281.06,0.998916060784896,0.4065930528837961,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1181.26,295.09,0.998916060784896,0.3989346782079989,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1181.26,309.12,0.998916060784896,0.3989346782079989,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1181.26,323.15,0.998916060784896,0.3989346782079989,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1176.26,253.0,0.9947259712084152,0.40318008414195367,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1176.26,267.03,0.9947259712084152,0.40317919288038084,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1176.26,281.06,0.9947259712084152,0.4030517977298269,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1176.26,295.09,0.9947259712084152,0.39536116364105506,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1176.26,309.12,0.9947259712084152,0.39536116364105506,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1176.26,323.15,0.9947259712084152,0.39536116364105506,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1171.26,253.0,0.9904235198327573,0.3995904791251402,
10000000.0,1196.26,22940517.94,3.87,29.09,165.8,0.5,1171.26,267.03,0.9904235198327573,0.39958958399188066,
