P_net_W,T_in_ref_blk_K,p_high_Pa,PR,T_cold_set_K,load,T_HTF_in_K,T_amb_input_K,eta_gross,eta_Q
106366797.8,1112.51,24647131.97,2.85,817.15,0.97,1109.65,299.1,0.386937226281,0.958972403703
106366797.8,1112.51,24647131.97,2.85,817.15,0.79,1101.41,294.69,0.293872642201,0.887849571098
106366797.8,1112.51,24647131.97,2.85,817.15,1.01,1097.55,268.73,0.398431438059,0.958925951962
106366797.8,1112.51,24647131.97,2.85,817.15,0.58,1105.12,311.41,0.0785927166216,0.724049215402
106366797.8,1112.51,24647131.97,2.85,817.15,0.55,1104.04,287.18,0.0406888427464,0.692802113621
106366797.8,1112.51,24647131.97,2.85,817.15,0.85,1107.42,280.16,0.342072471145,0.915280963176
106366797.8,1112.51,24647131.97,2.85,817.15,0.75,1111.15,308.04,0.271780425982,0.870934373764
106366797.8,1112.51,24647131.97,2.85,817.15,0.68,1100.0,276.59,0.202641565606,0.81295637688
134404701.27,1035.88,24888391.67,2.81,825.66,0.96,1029.68,301.4,0.316667012056,0.909757380477
134404701.27,1035.88,24888391.67,2.81,825.66,1.04,1035.27,273.07,0.362633450005,0.929372085841
134404701.27,1035.88,24888391.67,2.81,825.66,0.6,1032.72,291.75,0.0158685054255,0.674037649856
134404701.27,1035.88,24888391.67,2.81,825.66,0.81,1030.37,285.03,0.238581798835,0.838436396336
134404701.27,1035.88,24888391.67,2.81,825.66,0.52,1022.8,315.93,0.0,0.579720993076
134404701.27,1035.88,24888391.67,2.81,825.66,0.67,1027.01,280.57,0.100122853817,0.731641517837
134404701.27,1035.88,24888391.67,2.81,825.66,0.91,1024.85,264.43,0.295456561448,0.882479672704
134404701.27,1035.88,24888391.67,2.81,825.66,0.73,1022.24,306.36,0.146969168613,0.773351968749
26904371.74,1144.36,24529198.77,2.93,817.34,0.58,1129.62,287.44,0.111599725691,0.746589964857
26904371.74,1144.36,24529198.77,2.93,817.34,0.67,1139.12,279.65,0.232168948968,0.836756726112
26904371.74,1144.36,24529198.77,2.93,817.34,0.98,1131.96,297.29,0.395645430344,0.961229433424
26904371.74,1144.36,24529198.77,2.93,817.34,1.04,1142.33,263.41,0.427664770128,0.981112959226
26904371.74,1144.36,24529198.77,2.93,817.34,0.88,1142.73,316.81,0.368945396424,0.956789880859
26904371.74,1144.36,24529198.77,2.93,817.34,0.5,1133.75,307.73,0.0,0.664494091749
26904371.74,1144.36,24529198.77,2.93,817.34,0.84,1137.63,270.17,0.354017595614,0.931724200604
26904371.74,1144.36,24529198.77,2.93,817.34,0.71,1136.49,304.25,0.256039312744,0.864671648643
103450406.2,1023.58,24380579.16,2.99,825.98,0.7,1015.97,311.72,0.0628584069361,0.728518673468
103450406.2,1023.58,24380579.16,2.99,825.98,0.55,1016.17,301.0,0.0,0.593892769001
103450406.2,1023.58,24380579.16,2.99,825.98,0.91,1012.7,267.0,0.243924512537,0.856023686083
103450406.2,1023.58,24380579.16,2.99,825.98,0.97,1019.58,295.81,0.27808712894,0.891296004607
103450406.2,1023.58,24380579.16,2.99,825.98,0.63,1009.18,287.89,0.0,0.662386111613
103450406.2,1023.58,24380579.16,2.99,825.98,1.02,1023.16,271.06,0.310446367245,0.904432366053
