P_net_W,T_in_ref_blk_K,p_high_Pa,PR,T_cold_set_K,T_high,load,T_HTF_in_K,T_amb_input_K,eta_gross,eta_Q
128052133.07,1171.23,24430843.61,2.9,848.75,1071.2296925393898,0.71,1157.53,312.66,0.529915563325,1.00234216311
128052133.07,1171.23,24430843.61,2.9,848.75,1071.2296925393898,0.87,1171.23,275.63,0.542827934442,1.00827671993
128052133.07,1171.23,24430843.61,2.9,848.75,1071.2296925393898,0.56,1166.78,283.85,0.541569999624,1.00662860267
128052133.07,1171.23,24430843.61,2.9,848.75,1071.2296925393898,0.65,1165.27,309.05,0.532454735369,1.00596046863
128052133.07,1171.23,24430843.61,2.9,848.75,1071.2296925393898,0.63,1158.97,293.18,0.536589156011,1.00301082338
128052133.07,1171.23,24430843.61,2.9,848.75,1071.2296925393898,0.79,1160.96,268.84,0.539771749864,1.00391897172
128052133.07,1171.23,24430843.61,2.9,848.75,1071.2296925393898,1.0,1168.3,297.54,0.532051468875,1.00539147302
128052133.07,1171.23,24430843.61,2.9,848.75,1071.2296925393898,0.96,1163.31,282.76,0.539583924056,1.00373939109
128052133.07,1171.23,24430843.61,2.9,848.75,1080.1185814282787,0.89,1163.03,274.52,0.542945481014,1.0105329235
128052133.07,1171.23,24430843.61,2.9,848.75,1080.1185814282787,0.53,1159.2,283.21,0.539832770525,1.0061762769
128052133.07,1171.23,24430843.61,2.9,848.75,1080.1185814282787,0.94,1157.19,269.55,0.541683824786,1.0087360032
128052133.07,1171.23,24430843.61,2.9,848.75,1080.1185814282787,0.75,1160.56,294.05,0.537423638118,1.00760982091
128052133.07,1171.23,24430843.61,2.9,848.75,1080.1185814282787,0.65,1166.26,286.43,0.542131160123,1.00970587028
128052133.07,1171.23,24430843.61,2.9,848.75,1080.1185814282787,0.62,1164.64,305.56,0.533028496885,1.00886955226
128052133.07,1171.23,24430843.61,2.9,848.75,1080.1185814282787,1.02,1168.18,301.46,0.537916885736,1.01559564322
128052133.07,1171.23,24430843.61,2.9,848.75,1080.1185814282787,0.79,1170.6,314.28,0.535708443891,1.01260141254
128052133.07,1171.23,24430843.61,2.9,848.75,1089.0074703171676,0.56,1157.01,274.51,0.540293791888,1.00897225183
128052133.07,1171.23,24430843.61,2.9,848.75,1089.0074703171676,0.59,1171.02,284.67,0.544954355201,1.01579390772
